epoch,phase,avg_ms,total_ms,peak_vram_mb,vram_delta_mb,loader_starvation_ms,nccl_ms,gpu_util_pct
0,data_to_gpu,1.14,27.40,138.9,16.0,34648.7,12.4,59.6
0,forward,330.89,7941.24,19576.8,49619.2,34648.7,12.4,59.6
0,backward,2227.11,53450.75,19941.7,-49590.8,34648.7,12.4,59.6
0,optimizer,8.64,207.35,152.1,42.4,34648.7,12.4,59.6
0,val_forward,86.00,516.03,3039.4,65.0,34648.7,12.4,59.6
0,val_metrics,33.99,203.94,204.9,0.0,34648.7,12.4,59.6
1,data_to_gpu,1.36,32.52,138.9,16.0,14122.6,9.0,76.7
1,forward,84.09,2018.11,3906.4,49623.0,14122.6,9.0,76.7
1,backward,2862.54,68701.04,6213.4,-49615.0,14122.6,9.0,76.7
1,optimizer,3.93,94.34,152.1,0.0,14122.6,9.0,76.7
1,val_forward,84.63,507.80,3039.4,67.0,14122.6,9.0,76.7
1,val_metrics,1.98,11.85,204.9,0.0,14122.6,9.0,76.7
2,data_to_gpu,1.31,31.36,138.9,16.0,46138.9,10.3,13.7
2,forward,84.70,2032.74,3906.4,49625.9,46138.9,10.3,13.7
2,backward,388.89,9333.36,6213.4,-49617.9,46138.9,10.3,13.7
2,optimizer,5.95,142.72,152.1,0.0,46138.9,10.3,13.7
2,val_forward,84.78,508.67,3039.4,67.0,46138.9,10.3,13.7
2,val_metrics,2.68,16.06,204.9,0.0,46138.9,10.3,13.7
3,data_to_gpu,1.24,29.66,138.9,16.0,35513.9,11.9,45.8
3,forward,84.30,2023.23,3906.4,49620.0,35513.9,11.9,45.8
3,backward,1408.48,33803.60,6213.4,-49612.0,35513.9,11.9,45.8
3,optimizer,5.15,123.51,152.1,0.0,35513.9,11.9,45.8
3,val_forward,84.85,509.12,3038.4,64.0,35513.9,11.9,45.8
3,val_metrics,2.39,14.36,204.0,0.0,35513.9,11.9,45.8
4,data_to_gpu,0.96,22.94,138.9,17.0,14255.7,12.5,73.1
4,forward,84.43,2026.29,3906.4,49619.0,14255.7,12.5,73.1
4,backward,2372.64,56943.46,6213.4,-49611.0,14255.7,12.5,73.1
4,optimizer,5.92,142.01,152.1,0.0,14255.7,12.5,73.1
4,val_forward,84.71,508.25,3039.4,64.0,14255.7,12.5,73.1
4,val_metrics,2.62,15.69,204.9,0.0,14255.7,12.5,73.1
5,data_to_gpu,0.98,23.59,138.9,16.0,1470.8,12.6,89.4
5,forward,84.32,2023.72,3906.4,49621.0,1470.8,12.6,89.4
5,backward,3100.79,74418.92,6213.4,-49613.0,1470.8,12.6,89.4
5,optimizer,5.29,127.00,152.1,0.0,1470.8,12.6,89.4
5,val_forward,84.67,508.02,3039.4,67.0,1470.8,12.6,89.4
5,val_metrics,2.66,15.95,204.9,0.0,1470.8,12.6,89.4
6,data_to_gpu,1.06,25.39,138.9,17.0,43030.4,12.9,37.3
6,forward,84.36,2024.56,3906.4,49620.0,43030.4,12.9,37.3
6,backward,1142.85,27428.49,6213.4,-49612.0,43030.4,12.9,37.3
6,optimizer,5.23,125.41,152.1,0.0,43030.4,12.9,37.3
