-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                aten::cudnn_convolution         0.13%      35.640ms         0.32%      91.182ms      80.692us     250.595ms         3.49%     250.595ms     221.765us           0 b           0 b     119.43 Gb     119.43 Gb          1130  
                                            aten::empty         0.14%      39.534ms         0.14%      39.534ms       5.292us       0.000us         0.00%       0.000us       0.000us      16.91 Kb      16.91 Kb     117.99 Gb     117.99 Gb          7470  
                                             aten::gelu         0.03%       7.949ms         0.04%      11.616ms      22.339us     124.607ms         1.73%     124.607ms     239.628us           0 b           0 b      80.57 Gb      80.57 Gb           520  
                             aten::convolution_backward         0.16%      45.743ms         1.13%     320.137ms     363.792us     892.761ms        12.42%     969.602ms       1.102ms           0 b           0 b      84.73 Gb      67.90 Gb           880  
                                              aten::add         0.03%       9.412ms         0.12%      33.485ms      42.930us     119.485ms         1.66%     119.485ms     153.186us           0 b           0 b      51.61 Gb      51.61 Gb           780  
                                    aten::gelu_backward         0.01%       3.388ms         0.06%      16.090ms      61.883us      92.187ms         1.28%      92.187ms     354.564us           0 b           0 b      40.28 Gb      40.28 Gb           260  
                      aten::cudnn_convolution_transpose         0.02%       6.792ms         0.04%      11.138ms      61.878us     232.221ms         3.23%     232.221ms       1.290ms           0 b           0 b      19.44 Gb      19.44 Gb           180  
                                    aten::empty_strided         0.05%      14.447ms         0.05%      14.447ms       5.970us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       6.96 Gb       6.96 Gb          2420  
                                              aten::mul         0.00%     953.084us         0.01%       1.496ms      29.918us     525.826us         0.01%     525.826us      10.517us           0 b           0 b     160.01 Mb     160.01 Mb            50  
                                          aten::sigmoid         0.00%     266.839us         0.00%     380.230us      38.023us      91.551us         0.00%      91.551us       9.155us           0 b           0 b      80.00 Mb      80.00 Mb            10  
                                 aten::sigmoid_backward         0.00%     200.249us         0.00%     317.420us      31.742us     125.888us         0.00%     125.888us      12.589us           0 b           0 b      80.00 Mb      80.00 Mb            10  
                                              aten::sum         0.07%      19.303ms         0.61%     171.426ms     188.380us      77.379ms         1.08%      77.379ms      85.032us           0 b           0 b     855.00 Kb     855.00 Kb           910  
                                          aten::resize_         0.00%       1.091ms         0.00%       1.091ms       4.197us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     205.00 Kb     205.00 Kb           260  
                                       cudaLaunchKernel         1.55%     439.707ms         1.55%     439.707ms      34.705us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     195.50 Kb     195.50 Kb         12670  
autograd::engine::evaluate_function: torch::autograd...         0.08%      23.073ms         0.35%      98.245ms      38.377us       0.000us         0.00%        4.160s       1.625ms           0 b           0 b     300.00 Kb      39.00 Kb          2560  
                                            aten::zero_         0.00%      83.612us         0.00%     293.952us      29.395us       0.000us         0.00%      21.984us       2.198us           0 b           0 b     261.00 Kb      33.00 Kb            10  
                                            aten::fill_         0.00%       1.197ms         0.01%       2.617ms      14.537us       9.570ms         0.13%       9.570ms      53.165us           0 b           0 b     228.00 Kb      32.50 Kb           180  
                                              aten::div         0.00%     637.745us         0.00%     994.977us      24.874us     105.888us         0.00%     105.888us       2.647us           0 b           0 b      20.00 Kb      20.00 Kb            40  
                                              aten::neg         0.00%     699.159us         0.00%       1.140ms      57.017us      50.334us         0.00%      50.334us       2.517us           0 b           0 b      10.00 Kb      10.00 Kb            20  
                                               aten::ne         0.00%     263.839us         0.00%     407.012us      40.701us      24.064us         0.00%      24.064us       2.406us           0 b           0 b       5.00 Kb       5.00 Kb            10  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 28.297s
Self CUDA time total: 7.189s
