-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         REMPE/backward         0.00%       0.000us         0.00%       0.000us       0.000us        2.091s        69.99%        2.091s     209.109ms           0 b           0 b           0 b           0 b            10  
autograd::engine::evaluate_function: CheckpointFunct...         0.07%       3.076ms        28.00%        1.226s       4.542ms       0.000us         0.00%        2.091s       7.743ms           0 b           0 b      -8.56 Gb     -18.74 Gb           270  
                             CheckpointFunctionBackward         3.64%     159.604ms        27.58%        1.208s       4.474ms       0.000us         0.00%        2.087s       7.728ms           0 b     -16.88 Kb      10.19 Gb     -53.01 Gb           270  
                                           aten::conv3d         0.44%      19.149ms        11.69%     511.984ms     163.052us       0.000us         0.00%        1.444s     459.890us           0 b           0 b     157.17 Gb     -10.07 Gb          3140  
                                      aten::convolution         0.24%      10.399ms         3.59%     157.150ms      89.800us       0.000us         0.00%     927.293ms     529.882us           0 b           0 b      83.16 Gb           0 b          1750  
                                     aten::_convolution         0.38%      16.725ms         3.35%     146.751ms      83.857us       0.000us         0.00%     927.293ms     529.882us           0 b           0 b      83.16 Gb           0 b          1750  
autograd::engine::evaluate_function: ConvolutionBack...         0.25%      10.864ms         5.68%     248.685ms     282.597us       0.000us         0.00%     890.890ms       1.012ms           0 b           0 b     -24.75 Gb     -73.77 Gb           880  
                                   ConvolutionBackward0         0.12%       5.289ms         4.78%     209.237ms     237.769us       0.000us         0.00%     871.541ms     990.388us           0 b           0 b      42.37 Gb           0 b           880  
                             aten::convolution_backward         1.10%      48.232ms         4.66%     203.948ms     231.759us     823.142ms        27.55%     871.541ms     990.388us           0 b           0 b      42.37 Gb      33.96 Gb           880  
                                       aten::group_norm         0.12%       5.099ms         4.27%     186.937ms     179.747us       0.000us         0.00%     848.009ms     815.394us           0 b           0 b     100.96 Gb     -19.89 Gb          1040  
