-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: CheckpointFunct...         0.04%       4.028ms         8.82%     998.349ms       3.698ms       0.000us         0.00%        8.440s      31.259ms           0 b           0 b     -17.32 Gb     -37.48 Gb           270  
                             CheckpointFunctionBackward         1.50%     169.775ms         8.78%     993.668ms       3.680ms       0.000us         0.00%        8.432s      31.231ms           0 b     -16.88 Kb      20.16 Gb     -45.57 Gb           270  
autograd::engine::evaluate_function: torch::autograd...         0.23%      25.878ms         1.06%     120.551ms      47.090us       0.000us         0.00%        6.411s       2.504ms           0 b           0 b     110.50 Kb     163.50 Kb          2560  
                                       c10d::allreduce_         0.01%       1.194ms         0.04%       4.284ms     214.196us       0.000us         0.00%        6.404s     320.211ms           0 b           0 b           0 b           0 b            20  
                                     record_param_comms         0.02%       2.363ms         0.03%       3.090ms     154.510us        6.404s        67.39%        6.404s     320.211ms           0 b           0 b           0 b           0 b            20  
ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevComm*...         0.00%       0.000us         0.00%       0.000us       0.000us        6.404s        67.39%        6.404s     320.211ms           0 b           0 b           0 b           0 b            20  
                                        nccl:all_reduce         0.00%       0.000us         0.00%       0.000us       0.000us        6.404s        67.39%        6.404s     320.211ms           0 b           0 b           0 b           0 b            20  
                                         REMPE/backward         0.00%       0.000us         0.00%       0.000us       0.000us        2.198s        23.13%        2.198s     219.806ms           0 b           0 b           0 b           0 b            10  
                                      aten::convolution         0.12%      13.322ms         2.15%     243.807ms     139.318us       0.000us         0.00%        1.028s     587.426us           0 b           0 b     166.30 Gb           0 b          1750  
                                     aten::_convolution         0.16%      17.578ms         2.04%     230.485ms     131.705us       0.000us         0.00%        1.028s     587.426us           0 b           0 b     166.30 Gb           0 b          1750  
