epoch,train_loss,val_loss,dsc,iou
0,0.807343,0.466473,0.596328,0.563469
1,0.408486,0.339961,0.664588,0.689820
2,0.373799,0.349156,0.652951,0.610192
3,0.349435,0.308572,0.693528,0.773741
4,0.325417,0.317222,0.684229,0.791265
5,0.307705,0.297224,0.703892,0.727205
6,0.272425,0.286549,0.714556,0.722717
7,0.283741,0.274163,0.727039,0.738174
8,0.296141,0.280412,0.720761,0.709876
9,0.268204,0.276912,0.724403,0.713051
10,0.251251,0.276912,0.724403,0.713051
11,0.231119,0.274980,0.726369,0.709506
12,0.263285,0.269184,0.732261,0.739210
13,0.220321,0.273033,0.728012,0.728972
14,0.266665,0.269189,0.732218,0.723762
15,0.251090,0.286096,0.715492,0.642721
16,0.240254,0.277019,0.723767,0.696308
17,0.265227,0.281509,0.719198,0.740656
18,0.260363,0.296670,0.703932,0.698323
19,0.303228,0.252916,0.748019,0.780370
20,0.294634,0.281174,0.719484,0.700807
21,0.257613,0.257314,0.743216,0.771519
22,0.213548,0.248134,0.752605,0.767277
23,0.249716,0.248551,0.752482,0.772844
24,0.259089,0.237450,0.763362,0.778842
25,0.244376,0.250147,0.750322,0.722341
26,0.199125,0.241021,0.759771,0.795732
27,0.210308,0.234225,0.766535,0.790748
28,0.202883,0.234535,0.766110,0.769184
29,0.210068,0.233923,0.766720,0.776349
30,0.183032,0.233923,0.766720,0.776349
31,0.203054,0.231262,0.769393,0.785650
32,0.183539,0.236806,0.763784,0.763963
33,0.203745,0.226921,0.773717,0.808527
34,0.218681,0.225741,0.775019,0.794509
35,0.214262,0.254358,0.746146,0.767006
36,0.248244,0.233054,0.767447,0.818850
37,0.213048,0.230517,0.770087,0.807057
38,0.236805,0.242704,0.757781,0.765049
39,0.210747,0.260195,0.740225,0.740575
40,0.240236,0.263155,0.737186,0.747705
41,0.239692,0.231310,0.769062,0.765934
42,0.216157,0.228181,0.772352,0.811794
43,0.179286,0.235932,0.764378,0.760097
44,0.179192,0.244028,0.756342,0.780167
45,0.181139,0.242653,0.757627,0.739263
46,0.186773,0.221068,0.779387,0.816425
47,0.226651,0.231689,0.768771,0.794126
48,0.201389,0.226357,0.774096,0.789617
49,0.237172,0.228315,0.772171,0.780355
50,0.194241,0.228315,0.772171,0.780355
51,0.184008,0.228000,0.772454,0.781843
52,0.195034,0.224750,0.775735,0.797299
53,0.167799,0.233236,0.767308,0.774907
54,0.200474,0.226476,0.773917,0.797533
55,0.210863,0.232754,0.767616,0.756526
56,0.217592,0.230173,0.770271,0.811641
57,0.199569,0.234691,0.765612,0.852558
58,0.218963,0.230875,0.769722,0.798155
59,0.246755,0.249784,0.750534,0.746528
60,0.212538,0.243818,0.756423,0.769085
61,0.206505,0.243583,0.756677,0.754250
62,0.191594,0.225868,0.774558,0.839880
63,0.199332,0.237185,0.763022,0.796910
64,0.209597,0.235777,0.764584,0.798370
65,0.207817,0.251912,0.748302,0.751141
66,0.193319,0.233389,0.766890,0.770203
67,0.180681,0.232229,0.768103,0.795192
68,0.194061,0.235494,0.764709,0.787684
69,0.221042,0.233899,0.766373,0.791298
70,0.168869,0.233899,0.766373,0.791298
71,0.155062,0.234400,0.765912,0.789403
72,0.198645,0.243782,0.756476,0.755323
73,0.170010,0.229910,0.770430,0.796577
74,0.189964,0.240412,0.759855,0.759258
75,0.174731,0.233921,0.766279,0.777399
76,0.174964,0.223556,0.776838,0.825956
77,0.237299,0.255340,0.744830,0.728529
78,0.217142,0.246775,0.753385,0.799516
79,0.244046,0.240515,0.759728,0.770596
80,0.200880,0.254420,0.745832,0.716464
81,0.173804,0.249164,0.750986,0.740265
82,0.212583,0.232015,0.768244,0.790646
83,0.208383,0.234710,0.765501,0.788362
84,0.194842,0.251456,0.748710,0.756790
85,0.188447,0.230041,0.770208,0.794670
86,0.174540,0.229922,0.770341,0.801730
87,0.199363,0.243598,0.756646,0.763658
88,0.173334,0.230706,0.769484,0.799502
89,0.176969,0.231347,0.768881,0.795115
90,0.176949,0.231347,0.768881,0.795115
91,0.194422,0.233269,0.766954,0.790733
92,0.188934,0.235128,0.765109,0.781287
93,0.170871,0.238581,0.761641,0.772741
94,0.176658,0.237398,0.762892,0.779953
95,0.151899,0.231416,0.768890,0.802295
96,0.165074,0.249902,0.750277,0.733018
97,0.193128,0.228401,0.771742,0.775573
98,0.208126,0.241679,0.758381,0.792532
99,0.181405,0.232300,0.767902,0.772781
100,0.202070,0.235664,0.764612,0.808304
101,0.211161,0.223725,0.776428,0.797900
102,0.198283,0.248612,0.751591,0.751778
103,0.166204,0.245265,0.754892,0.744382
104,0.165619,0.234379,0.765775,0.756674
105,0.216305,0.229508,0.770761,0.796523
106,0.151442,0.231951,0.768282,0.783057
107,0.163562,0.226203,0.774054,0.815424
108,0.156369,0.229362,0.770911,0.798965
109,0.153670,0.229199,0.771106,0.798314
110,0.179026,0.229199,0.771106,0.798314
111,0.142616,0.229115,0.771157,0.798792
112,0.148368,0.224027,0.776181,0.809675
113,0.172515,0.227325,0.772909,0.804859
114,0.171905,0.223681,0.776545,0.795923
115,0.209950,0.238394,0.761775,0.775785
116,0.146373,0.233380,0.766794,0.792690
117,0.184973,0.234896,0.765354,0.792940
118,0.184881,0.234985,0.765200,0.782922
119,0.157290,0.238575,0.761643,0.788427
120,0.174345,0.231210,0.768940,0.813663
121,0.195388,0.232528,0.767641,0.794925
122,0.164488,0.231405,0.768811,0.800547
123,0.155450,0.230547,0.769609,0.803342
124,0.194461,0.240571,0.759580,0.769994
125,0.175159,0.234810,0.765373,0.774608
126,0.162524,0.230547,0.769612,0.791820
127,0.145010,0.230267,0.769909,0.801672
128,0.177520,0.230342,0.769845,0.796152
129,0.164958,0.228626,0.771497,0.803925
130,0.152156,0.228626,0.771497,0.803925
