epoch,train_loss,val_loss,dsc,iou
0,0.792469,0.464054,0.572442,0.509160
1,0.387341,0.327488,0.676135,0.641245
2,0.363075,0.276717,0.725354,0.757861
3,0.285599,0.290071,0.711037,0.806248
4,0.280330,0.315911,0.685102,0.749869
5,0.262544,0.303227,0.697519,0.651843
6,0.233218,0.266095,0.734829,0.745008
7,0.239967,0.273774,0.727107,0.709854
8,0.267138,0.263973,0.736971,0.736498
9,0.231841,0.266712,0.734035,0.717734
10,0.220117,0.266712,0.734035,0.717734
11,0.212316,0.267983,0.732852,0.709844
12,0.234555,0.260875,0.739921,0.735286
13,0.209629,0.266722,0.734152,0.736447
14,0.259860,0.262971,0.737831,0.719370
15,0.228579,0.251577,0.749208,0.749025
16,0.214180,0.272319,0.728527,0.701962
17,0.241130,0.255629,0.744969,0.756942
18,0.247736,0.299625,0.700893,0.661670
19,0.284864,0.255058,0.745407,0.734605
20,0.273144,0.279962,0.720453,0.690687
21,0.227716,0.239099,0.761506,0.792899
22,0.211338,0.269122,0.731509,0.712150
23,0.233547,0.234071,0.766624,0.761535
24,0.237450,0.232442,0.768159,0.793147
25,0.219308,0.249894,0.750558,0.739327
26,0.185833,0.229463,0.771091,0.790150
27,0.208045,0.242410,0.758150,0.758965
28,0.194533,0.234537,0.766073,0.774141
29,0.203876,0.233744,0.766795,0.776834
30,0.171743,0.233744,0.766795,0.776834
31,0.188843,0.234140,0.766442,0.776911
32,0.177742,0.235433,0.765079,0.769848
33,0.193820,0.226633,0.773987,0.799322
34,0.205074,0.232000,0.768686,0.813454
35,0.204451,0.248947,0.751650,0.747991
36,0.249065,0.247061,0.753420,0.742840
37,0.206220,0.239464,0.761045,0.772072
38,0.203795,0.243055,0.757332,0.743325
39,0.210167,0.241143,0.759179,0.761890
40,0.232967,0.281218,0.719179,0.717825
41,0.234681,0.265419,0.734826,0.708245
42,0.213526,0.231422,0.768933,0.784896
43,0.185392,0.237929,0.762395,0.797115
44,0.184408,0.245817,0.754529,0.775786
45,0.177916,0.245060,0.755185,0.755304
46,0.183556,0.233949,0.766446,0.809696
47,0.216793,0.237722,0.762636,0.770854
48,0.197964,0.232822,0.767528,0.788361
49,0.227850,0.235792,0.764520,0.777956
50,0.189160,0.235792,0.764520,0.777956
51,0.180268,0.236092,0.764300,0.777822
52,0.190065,0.231939,0.768489,0.796553
53,0.163669,0.237582,0.762806,0.780093
