-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         REMPE/backward         0.00%       0.000us         0.00%       0.000us       0.000us        2.182s        67.25%        2.182s     218.225ms           0 b           0 b           0 b           0 b            10  
autograd::engine::evaluate_function: CheckpointFunct...         0.07%       3.318ms        21.44%     995.152ms       3.686ms       0.000us         0.00%        2.165s       8.019ms           0 b           0 b     -17.32 Gb     -37.48 Gb           270  
                             CheckpointFunctionBackward         2.91%     135.286ms        21.35%     991.201ms       3.671ms       0.000us         0.00%        2.157s       7.990ms           0 b     -16.88 Kb      20.16 Gb     -45.57 Gb           270  
                                          ProfilerStep*         0.51%      23.478ms        73.09%        3.393s     339.268ms       0.000us         0.00%        1.040s     104.021ms     134.16 Kb           0 b           0 b      -5.00 Kb            10  
                                      aten::convolution         0.29%      13.259ms         5.45%     252.810ms     144.463us       0.000us         0.00%        1.029s     587.914us           0 b           0 b     166.29 Gb           0 b          1750  
                                     aten::_convolution         0.38%      17.410ms         5.16%     239.551ms     136.886us       0.000us         0.00%        1.029s     587.914us           0 b           0 b     166.29 Gb           0 b          1750  
autograd::engine::evaluate_function: ConvolutionBack...         0.23%      10.697ms         6.41%     297.732ms     338.332us       0.000us         0.00%     996.761ms       1.133ms           0 b           0 b     -49.19 Gb    -147.23 Gb           880  
                                   ConvolutionBackward0         0.11%       5.273ms         6.06%     281.401ms     319.774us       0.000us         0.00%     957.771ms       1.088ms           0 b           0 b      84.73 Gb           0 b           880  
                             aten::convolution_backward         0.96%      44.341ms         5.95%     276.128ms     313.782us     881.029ms        27.15%     957.771ms       1.088ms           0 b           0 b      84.73 Gb      67.90 Gb           880  
                        DistributedDataParallel.forward         0.00%       0.000us         0.00%       0.000us       0.000us     849.680ms        26.18%     849.680ms      84.968ms           0 b           0 b           0 b           0 b            10  
