-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: CheckpointFunct...         0.03%       3.270ms         9.20%     997.908ms       3.696ms       0.000us         0.00%        8.565s      31.724ms           0 b           0 b     -17.32 Gb     -37.48 Gb           270  
                             CheckpointFunctionBackward         1.30%     140.983ms         9.02%     978.089ms       3.623ms       0.000us         0.00%        8.558s      31.696ms           0 b     -16.88 Kb      20.16 Gb     -45.57 Gb           270  
autograd::engine::evaluate_function: torch::autograd...         0.22%      23.344ms         0.92%     100.141ms      39.118us       0.000us         0.00%        6.529s       2.550ms           0 b           0 b    -255.77 Mb       4.50 Kb          2560  
                                       c10d::allreduce_         0.02%       2.674ms         0.05%       5.151ms     257.562us       0.000us         0.00%        6.522s     326.120ms           0 b           0 b           0 b           0 b            20  
                                     record_param_comms         0.02%       1.878ms         0.02%       2.477ms     123.846us        6.522s        68.23%        6.522s     326.120ms           0 b           0 b           0 b           0 b            20  
ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevComm*...         0.00%       0.000us         0.00%       0.000us       0.000us        6.522s        68.23%        6.522s     326.120ms           0 b           0 b           0 b           0 b            20  
                                        nccl:all_reduce         0.00%       0.000us         0.00%       0.000us       0.000us        6.522s        68.23%        6.522s     326.120ms           0 b           0 b           0 b           0 b            20  
                                         REMPE/backward         0.00%       0.000us         0.00%       0.000us       0.000us        2.195s        22.96%        2.195s     219.506ms           0 b           0 b           0 b           0 b            10  
                                      aten::convolution         0.11%      11.750ms         1.83%     198.122ms     113.212us       0.000us         0.00%        1.029s     588.179us           0 b           0 b     166.30 Gb           0 b          1750  
                                     aten::_convolution         0.17%      18.625ms         1.72%     186.371ms     106.498us       0.000us         0.00%        1.029s     588.179us           0 b           0 b     166.30 Gb     -16.00 Mb          1750  
