epoch,phase,avg_ms,total_ms,peak_vram_mb,vram_delta_mb,loader_starvation_ms,nccl_ms,gpu_util_pct
0,data_to_gpu,3.28,78.84,138.8,16.0,7168.0,12.3,79.0
0,forward,255.26,6126.32,3905.4,49615.2,7168.0,12.3,79.0
0,backward,1580.64,37935.30,6231.8,-49586.8,7168.0,12.3,79.0
0,optimizer,7.63,183.19,152.1,42.4,7168.0,12.3,79.0
0,val_forward,133.38,800.25,3038.4,64.0,7168.0,12.3,79.0
0,val_metrics,16.58,99.46,204.9,0.0,7168.0,12.3,79.0
1,data_to_gpu,2.68,64.41,138.0,16.0,6622.4,8.4,79.2
1,forward,131.01,3144.31,3905.4,49616.0,6622.4,8.4,79.2
1,backward,1625.91,39021.82,6231.8,-49608.0,6622.4,8.4,79.2
1,optimizer,3.98,95.57,152.1,0.0,6622.4,8.4,79.2
1,val_forward,133.32,799.94,3038.4,64.0,6622.4,8.4,79.2
1,val_metrics,2.21,13.26,204.9,0.0,6622.4,8.4,79.2
2,data_to_gpu,3.53,84.82,138.0,16.0,6598.4,14.7,57.4
2,forward,132.17,3172.08,3905.4,49616.0,6598.4,14.7,57.4
2,backward,1684.49,40427.77,6231.8,-49608.0,6598.4,14.7,57.4
2,optimizer,6.36,152.57,152.1,0.0,6598.4,14.7,57.4
2,val_forward,133.78,802.69,3038.4,64.0,6598.4,14.7,57.4
2,val_metrics,2.81,16.83,204.9,0.0,6598.4,14.7,57.4
3,data_to_gpu,3.03,72.72,138.0,16.0,19240.6,11.7,58.2
3,forward,131.10,3146.48,3905.4,49616.0,19240.6,11.7,58.2
3,backward,1236.03,29664.78,6231.8,-49608.0,19240.6,11.7,58.2
3,optimizer,4.84,116.10,152.1,0.0,19240.6,11.7,58.2
3,val_forward,134.22,805.31,3038.4,64.0,19240.6,11.7,58.2
3,val_metrics,2.65,15.92,204.9,0.0,19240.6,11.7,58.2
4,data_to_gpu,3.10,74.48,138.0,16.0,7046.2,9.2,80.5
4,forward,131.07,3145.57,3905.4,49616.0,7046.2,9.2,80.5
4,backward,1862.97,44711.28,6231.8,-49608.0,7046.2,9.2,80.5
4,optimizer,4.67,112.01,152.1,0.0,7046.2,9.2,80.5
4,val_forward,133.23,799.37,3038.4,64.0,7046.2,9.2,80.5
4,val_metrics,2.84,17.06,204.9,0.0,7046.2,9.2,80.5
5,data_to_gpu,2.70,64.75,138.0,16.0,6851.9,9.6,81.9
