epoch,phase,avg_ms,total_ms,peak_vram_mb,vram_delta_mb,loader_starvation_ms,nccl_ms,gpu_util_pct
12,forward,84.11,2018.57,3906.4,49617.0,2244.1,9.9,73.3
12,backward,218.55,5245.27,6213.4,-49609.0,2244.1,9.9,73.3
12,optimizer,4.59,110.25,152.1,0.0,2244.1,9.9,73.3
12,val_forward,88.79,532.77,3038.4,64.0,2244.1,9.9,73.3
12,val_metrics,2.28,13.71,204.0,0.0,2244.1,9.9,73.3
13,data_to_gpu,9.01,216.21,138.9,16.0,1422.2,8.3,81.0
13,forward,84.04,2017.02,3906.4,49616.0,1422.2,8.3,81.0
13,backward,258.33,6199.85,6212.4,-49608.0,1422.2,8.3,81.0
13,optimizer,4.27,102.51,152.1,0.0,1422.2,8.3,81.0
13,val_forward,89.94,539.64,3038.4,64.0,1422.2,8.3,81.0
13,val_metrics,2.70,16.20,204.9,0.0,1422.2,8.3,81.0
14,data_to_gpu,9.19,220.52,138.9,16.0,2353.6,7.2,72.8
14,forward,83.99,2015.67,3906.4,49616.0,2353.6,7.2,72.8
14,backward,218.64,5247.47,6212.4,-49608.0,2353.6,7.2,72.8
14,optimizer,4.16,99.78,152.1,0.0,2353.6,7.2,72.8
14,val_forward,89.00,533.99,3038.4,64.0,2353.6,7.2,72.8
14,val_metrics,2.35,14.12,204.0,0.0,2353.6,7.2,72.8
15,data_to_gpu,9.29,223.04,138.9,16.0,792.5,8.7,86.5
15,forward,83.98,2015.60,3906.4,49617.0,792.5,8.7,86.5
15,backward,274.41,6585.79,6213.4,-49609.0,792.5,8.7,86.5
15,optimizer,4.06,97.43,152.1,0.0,792.5,8.7,86.5
15,val_forward,92.25,553.50,3038.4,64.0,792.5,8.7,86.5
15,val_metrics,2.40,14.40,204.0,0.0,792.5,8.7,86.5
16,data_to_gpu,9.06,217.48,138.9,16.0,2494.5,8.1,72.7
16,forward,84.00,2016.10,3906.4,49616.0,2494.5,8.1,72.7
16,backward,229.80,5515.16,6212.4,-49608.0,2494.5,8.1,72.7
16,optimizer,4.07,97.72,152.1,0.0,2494.5,8.1,72.7
16,val_forward,88.79,532.71,3038.4,64.0,2494.5,8.1,72.7
16,val_metrics,2.28,13.68,204.9,0.0,2494.5,8.1,72.7
17,data_to_gpu,9.14,219.44,138.9,16.0,780.9,7.5,86.8
17,forward,84.02,2016.58,3906.4,49616.0,780.9,7.5,86.8
17,backward,279.55,6709.29,6212.4,-49608.0,780.9,7.5,86.8
17,optimizer,4.23,101.49,152.1,0.0,780.9,7.5,86.8
17,val_forward,89.38,536.26,3038.4,64.0,780.9,7.5,86.8
17,val_metrics,2.26,13.56,204.0,0.0,780.9,7.5,86.8
18,data_to_gpu,8.55,205.19,138.9,16.0,1000.8,8.4,84.6
18,forward,84.01,2016.31,3906.4,49617.0,1000.8,8.4,84.6
18,backward,248.82,5971.56,6213.4,-49609.0,1000.8,8.4,84.6
18,optimizer,4.30,103.15,152.1,0.0,1000.8,8.4,84.6
18,val_forward,89.60,537.61,3038.4,64.0,1000.8,8.4,84.6
18,val_metrics,2.24,13.44,204.0,0.0,1000.8,8.4,84.6
19,data_to_gpu,8.73,209.57,138.9,16.0,718.8,8.5,86.6
19,forward,84.07,2017.74,3906.4,49616.0,718.8,8.5,86.6
19,backward,245.54,5893.03,6212.4,-49608.0,718.8,8.5,86.6
19,optimizer,4.35,104.44,152.1,0.0,718.8,8.5,86.6
19,val_forward,88.79,532.74,3038.4,64.0,718.8,8.5,86.6
19,val_metrics,2.24,13.47,204.9,0.0,718.8,8.5,86.6
20,data_to_gpu,9.12,218.81,138.9,16.0,701.1,7.6,88.0
20,forward,84.01,2016.16,3906.4,49616.0,701.1,7.6,88.0
20,backward,288.27,6918.36,6212.4,-49608.0,701.1,7.6,88.0
20,optimizer,4.14,99.42,152.1,0.0,701.1,7.6,88.0
20,val_forward,90.73,544.38,3038.4,64.0,701.1,7.6,88.0
20,val_metrics,2.72,16.32,204.0,0.0,701.1,7.6,88.0
21,data_to_gpu,9.28,222.76,138.9,16.0,844.8,8.6,86.7
21,forward,83.97,2015.29,3906.4,49617.0,844.8,8.6,86.7
21,backward,294.23,7061.46,6213.4,-49609.0,844.8,8.6,86.7
21,optimizer,4.06,97.39,152.1,0.0,844.8,8.6,86.7
21,val_forward,88.85,533.07,3038.4,64.0,844.8,8.6,86.7
21,val_metrics,2.25,13.49,204.0,0.0,844.8,8.6,86.7
22,data_to_gpu,9.01,216.27,138.9,16.0,1445.5,8.0,81.3
22,forward,84.00,2015.94,3906.4,49616.0,1445.5,8.0,81.3
22,backward,259.21,6221.10,6212.4,-49608.0,1445.5,8.0,81.3
22,optimizer,4.03,96.74,152.1,0.0,1445.5,8.0,81.3
22,val_forward,88.80,532.77,3038.4,64.0,1445.5,8.0,81.3
22,val_metrics,2.24,13.45,204.9,0.0,1445.5,8.0,81.3
23,data_to_gpu,9.15,219.69,138.9,16.0,699.9,8.8,86.8
23,forward,84.00,2016.11,3906.4,49616.0,699.9,8.8,86.8
23,backward,264.36,6344.59,6212.4,-49608.0,699.9,8.8,86.8
23,optimizer,4.10,98.41,152.1,0.0,699.9,8.8,86.8
23,val_forward,88.83,532.96,3038.4,64.0,699.9,8.8,86.8
23,val_metrics,2.26,13.58,204.0,0.0,699.9,8.8,86.8
24,data_to_gpu,9.02,216.58,138.9,16.0,734.8,8.1,87.2
24,forward,84.00,2015.95,3906.4,49617.0,734.8,8.1,87.2
24,backward,284.37,6824.85,6213.4,-49609.0,734.8,8.1,87.2
24,optimizer,4.12,98.95,152.1,0.0,734.8,8.1,87.2
24,val_forward,88.82,532.93,3038.4,64.0,734.8,8.1,87.2
24,val_metrics,2.25,13.51,204.0,0.0,734.8,8.1,87.2
25,data_to_gpu,9.30,223.14,138.9,16.0,759.2,7.8,87.8
25,forward,83.99,2015.77,3906.4,49616.0,759.2,7.8,87.8
25,backward,300.52,7212.39,6212.4,-49608.0,759.2,7.8,87.8
25,optimizer,4.08,97.95,152.1,0.0,759.2,7.8,87.8
25,val_forward,88.81,532.88,3038.4,64.0,759.2,7.8,87.8
25,val_metrics,2.25,13.48,204.9,0.0,759.2,7.8,87.8
26,data_to_gpu,9.39,225.26,138.9,16.0,752.7,8.0,87.3
26,forward,84.01,2016.16,3906.4,49616.0,752.7,8.0,87.3
26,backward,281.86,6764.75,6212.4,-49608.0,752.7,8.0,87.3
26,optimizer,4.14,99.37,152.1,0.0,752.7,8.0,87.3
26,val_forward,90.16,540.95,3038.4,64.0,752.7,8.0,87.3
26,val_metrics,2.74,16.45,204.0,0.0,752.7,8.0,87.3
27,data_to_gpu,9.07,217.62,138.9,16.0,2321.4,7.6,73.9
27,forward,83.99,2015.73,3906.4,49617.0,2321.4,7.6,73.9
27,backward,227.91,5469.73,6213.4,-49609.0,2321.4,7.6,73.9
27,optimizer,4.13,99.10,152.1,0.0,2321.4,7.6,73.9
27,val_forward,88.81,532.87,3038.4,64.0,2321.4,7.6,73.9
27,val_metrics,2.27,13.61,204.0,0.0,2321.4,7.6,73.9
28,data_to_gpu,9.02,216.48,138.9,16.0,849.0,8.6,86.9
28,forward,84.04,2016.85,3906.4,49616.0,849.0,8.6,86.9
28,backward,287.75,6906.11,6212.4,-49608.0,849.0,8.6,86.9
28,optimizer,4.06,97.41,152.1,0.0,849.0,8.6,86.9
28,val_forward,89.31,535.87,3038.4,64.0,849.0,8.6,86.9
28,val_metrics,2.27,13.62,204.9,0.0,849.0,8.6,86.9
29,data_to_gpu,9.15,219.50,138.9,16.0,2068.5,8.4,76.8
29,forward,84.02,2016.56,3906.4,49616.0,2068.5,8.4,76.8
29,backward,249.76,5994.29,6212.4,-49608.0,2068.5,8.4,76.8
29,optimizer,4.16,99.79,152.1,0.0,2068.5,8.4,76.8
29,val_forward,92.62,555.70,3038.4,64.0,2068.5,8.4,76.8
29,val_metrics,2.28,13.68,204.0,0.0,2068.5,8.4,76.8
30,data_to_gpu,9.32,223.60,138.9,16.0,873.7,7.6,86.1
30,forward,83.98,2015.52,3906.4,49617.0,873.7,7.6,86.1
30,backward,270.42,6490.05,6213.4,-49609.0,873.7,7.6,86.1
30,optimizer,4.04,96.95,152.1,0.0,873.7,7.6,86.1
30,val_forward,88.88,533.27,3038.4,64.0,873.7,7.6,86.1
30,val_metrics,2.26,13.54,204.0,0.0,873.7,7.6,86.1
31,data_to_gpu,9.06,217.36,138.9,16.0,1573.6,7.2,80.8
31,forward,83.98,2015.57,3906.4,49616.0,1573.6,7.2,80.8
31,backward,266.31,6391.53,6212.4,-49608.0,1573.6,7.2,80.8
31,optimizer,4.05,97.10,152.1,0.0,1573.6,7.2,80.8
31,val_forward,91.48,548.88,3038.4,64.0,1573.6,7.2,80.8
31,val_metrics,2.57,15.43,204.9,0.0,1573.6,7.2,80.8
32,data_to_gpu,8.97,215.27,138.9,16.0,752.2,7.4,86.7
32,forward,84.05,2017.18,3906.4,49616.0,752.2,7.4,86.7
32,backward,261.48,6275.58,6212.4,-49608.0,752.2,7.4,86.7
