-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         REMPE/backward         0.00%       0.000us         0.00%       0.000us       0.000us        2.178s        69.58%        2.178s     217.784ms           0 b           0 b           0 b           0 b            10  
autograd::engine::evaluate_function: CheckpointFunct...         0.07%       3.160ms        21.92%     991.484ms       3.672ms       0.000us         0.00%        2.150s       7.964ms           0 b           0 b     -17.32 Gb     -37.48 Gb           270  
                             CheckpointFunctionBackward         3.05%     137.834ms        21.84%     987.697ms       3.658ms       0.000us         0.00%        2.143s       7.935ms           0 b     -16.88 Kb      20.16 Gb     -45.57 Gb           270  
                                      aten::convolution         0.25%      11.237ms         5.63%     254.715ms     145.552us       0.000us         0.00%        1.028s     587.345us           0 b           0 b     166.30 Gb           0 b          1750  
                                     aten::_convolution         0.39%      17.689ms         5.38%     243.478ms     139.130us       0.000us         0.00%        1.028s     587.345us           0 b           0 b     166.30 Gb           0 b          1750  
autograd::engine::evaluate_function: ConvolutionBack...         0.23%      10.267ms         6.42%     290.339ms     329.931us       0.000us         0.00%     991.161ms       1.126ms           0 b           0 b     -49.19 Gb    -147.23 Gb           880  
                                   ConvolutionBackward0         0.13%       5.690ms         6.07%     274.539ms     311.977us       0.000us         0.00%     952.154ms       1.082ms           0 b           0 b      84.74 Gb           0 b           880  
                             aten::convolution_backward         1.01%      45.519ms         5.94%     268.849ms     305.511us     875.279ms        27.96%     952.154ms       1.082ms           0 b           0 b      84.74 Gb      67.91 Gb           880  
                                          ProfilerStep*         0.47%      21.350ms        72.46%        3.277s     327.729ms       0.000us         0.00%     945.135ms      94.513ms     134.16 Kb           0 b           0 b      -5.00 Kb            10  
                        DistributedDataParallel.forward         0.00%       0.000us         0.00%       0.000us       0.000us     849.852ms        27.15%     849.852ms      84.985ms           0 b           0 b           0 b           0 b            10  
