-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                aten::cudnn_convolution         0.78%      35.260ms         1.77%      80.027ms      70.820us     250.523ms         8.00%     250.523ms     221.702us           0 b           0 b     119.43 Gb     119.43 Gb          1130  
                                            aten::empty         0.86%      39.077ms         0.86%      39.077ms       5.231us       0.000us         0.00%       0.000us       0.000us      16.91 Kb      16.91 Kb     117.97 Gb     117.97 Gb          7470  
                                             aten::gelu         0.16%       7.218ms         0.59%      26.712ms      51.369us     124.600ms         3.98%     124.600ms     239.615us           0 b           0 b      80.57 Gb      80.57 Gb           520  
                             aten::convolution_backward         1.01%      45.519ms         5.94%     268.849ms     305.511us     875.279ms        27.96%     952.154ms       1.082ms           0 b           0 b      84.74 Gb      67.91 Gb           880  
                                              aten::add         0.22%       9.870ms         0.41%      18.618ms      23.869us     119.463ms         3.82%     119.463ms     153.158us           0 b           0 b      51.60 Gb      51.60 Gb           780  
                                    aten::gelu_backward         0.07%       3.338ms         0.96%      43.255ms     166.366us      92.179ms         2.94%      92.179ms     354.533us           0 b           0 b      40.28 Gb      40.28 Gb           260  
                      aten::cudnn_convolution_transpose         0.15%       6.606ms         0.24%      10.744ms      59.686us     232.042ms         7.41%     232.042ms       1.289ms           0 b           0 b      19.44 Gb      19.44 Gb           180  
                                    aten::empty_strided         0.32%      14.684ms         0.32%      14.684ms       6.068us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       6.96 Gb       6.96 Gb          2420  
                                              aten::mul         0.02%     972.453us         0.03%       1.429ms      28.582us     522.303us         0.02%     522.303us      10.446us           0 b           0 b     160.01 Mb     160.01 Mb            50  
                                          aten::sigmoid         0.01%     264.629us         0.01%     376.589us      37.659us      91.296us         0.00%      91.296us       9.130us           0 b           0 b      80.00 Mb      80.00 Mb            10  
                                 aten::sigmoid_backward         0.00%     170.670us         0.01%     279.919us      27.992us     124.798us         0.00%     124.798us      12.480us           0 b           0 b      80.00 Mb      80.00 Mb            10  
                                         cudaEventQuery         0.02%     754.695us         0.02%     791.665us      12.978us     124.287us         0.00%     124.287us       2.037us         -32 b         -32 b      12.03 Mb      12.00 Mb            61  
                                              aten::sum         0.43%      19.317ms         2.12%      96.095ms     105.599us      77.409ms         2.47%      77.409ms      85.064us           0 b           0 b     855.00 Kb     855.00 Kb           910  
autograd::engine::evaluate_function: torch::autograd...         0.49%      22.113ms         2.58%     116.581ms      45.539us       0.000us         0.00%      38.208ms      14.925us           0 b           0 b      18.50 Kb     225.00 Kb          2560  
                                          aten::resize_         0.02%       1.067ms         0.02%       1.067ms       4.104us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     205.00 Kb     205.00 Kb           260  
                               cudaPointerGetAttributes         0.00%     208.921us         0.00%     208.921us      11.607us       0.000us         0.00%       0.000us       0.000us     -19.84 Kb     -19.84 Kb      64.00 Kb      64.00 Kb            18  
                                              aten::div         0.01%     636.707us         0.02%     945.005us      23.625us     105.694us         0.00%     105.694us       2.642us           0 b           0 b      20.00 Kb      20.00 Kb            40  
                                              aten::neg         0.02%     782.697us         0.02%       1.118ms      55.921us      50.847us         0.00%      50.847us       2.542us           0 b           0 b      10.00 Kb      10.00 Kb            20  
                                               aten::ne         0.01%     256.736us         0.01%     385.816us      38.582us      24.576us         0.00%      24.576us       2.458us           0 b           0 b       5.00 Kb       5.00 Kb            10  
                                              aten::sub         0.00%     159.860us         0.01%     240.140us      24.014us      23.328us         0.00%      23.328us       2.333us           0 b           0 b       5.00 Kb       5.00 Kb            10  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 4.523s
Self CUDA time total: 3.130s
