epoch,phase,avg_ms,total_ms,peak_vram_mb,vram_delta_mb,loader_starvation_ms,nccl_ms,gpu_util_pct
10,optimizer,5.12,61.50,280.1,0.0,647.5,3.3,85.7
10,val_forward,152.06,456.19,5955.9,64.0,647.5,3.3,85.7
10,val_metrics,2.96,8.87,303.0,0.0,647.5,3.3,85.7
11,data_to_gpu,2.30,27.60,266.9,32.0,603.2,4.0,85.5
11,gpu_augment,68.48,821.75,338.9,64.0,603.2,4.0,85.5
11,forward,148.09,1777.06,4545.1,25100.0,603.2,4.0,85.5
11,backward,490.56,5886.66,8089.6,-25092.0,603.2,4.0,85.5
11,optimizer,5.19,62.32,272.1,0.0,603.2,4.0,85.5
11,val_forward,152.18,456.54,5955.9,64.0,603.2,4.0,85.5
11,val_metrics,3.10,9.30,303.0,0.0,603.2,4.0,85.5
12,data_to_gpu,2.75,33.00,274.9,32.0,674.6,3.4,84.4
12,gpu_augment,75.61,907.30,330.9,32.0,674.6,3.4,84.4
12,forward,148.07,1776.86,4553.1,25100.0,674.6,3.4,84.4
12,backward,460.14,5521.74,8097.6,-25092.0,674.6,3.4,84.4
12,optimizer,5.03,60.31,280.1,0.0,674.6,3.4,84.4
12,val_forward,152.14,456.42,5955.9,64.0,674.6,3.4,84.4
12,val_metrics,3.15,9.46,303.0,0.0,674.6,3.4,84.4
13,data_to_gpu,2.44,29.34,266.9,32.0,714.0,5.2,84.9
13,gpu_augment,89.99,1079.87,330.9,64.0,714.0,5.2,84.9
13,forward,148.08,1776.95,4545.1,25100.0,714.0,5.2,84.9
13,backward,444.05,5328.56,8089.6,-25092.0,714.0,5.2,84.9
13,optimizer,5.11,61.36,272.1,0.0,714.0,5.2,84.9
13,val_forward,152.15,456.44,5955.9,64.0,714.0,5.2,84.9
13,val_metrics,2.98,8.94,303.0,0.0,714.0,5.2,84.9
14,data_to_gpu,2.54,30.43,266.9,32.0,638.3,4.5,85.8
14,gpu_augment,77.39,928.68,338.9,64.0,638.3,4.5,85.8
14,forward,148.02,1776.29,4545.1,25100.0,638.3,4.5,85.8
