-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                aten::cudnn_convolution         0.15%      40.794ms         0.21%      58.651ms      51.903us     742.216ms         9.90%     742.216ms     656.828us           0 b           0 b     119.43 Gb     119.43 Gb          1130  
                                            aten::empty         0.17%      46.242ms         0.17%      46.242ms       6.190us       0.000us         0.00%       0.000us       0.000us      16.91 Kb      16.91 Kb     117.98 Gb     117.98 Gb          7470  
                                             aten::gelu         0.15%      39.895ms         0.16%      44.916ms      86.376us     124.567ms         1.66%     124.567ms     239.552us           0 b           0 b      80.57 Gb      80.57 Gb           520  
                             aten::convolution_backward         0.20%      55.575ms         0.44%     120.498ms     136.929us        2.399s        31.99%        2.473s       2.811ms           0 b           0 b      84.73 Gb      67.91 Gb           880  
                                               aten::ne         0.20%      54.187ms         0.34%      92.203ms      19.411us     215.249ms         2.87%     215.249ms      45.316us           0 b           0 b      53.42 Gb      53.42 Gb          4750  
                                              aten::add         0.16%      44.941ms         0.19%      51.798ms      66.407us     119.138ms         1.59%     119.138ms     152.741us           0 b           0 b      51.61 Gb      51.61 Gb           780  
                                    aten::gelu_backward         0.02%       4.229ms         0.03%       6.826ms      26.255us      91.929ms         1.23%      91.929ms     353.574us           0 b           0 b      40.28 Gb      40.28 Gb           260  
                      aten::cudnn_convolution_transpose         0.03%       7.591ms         0.04%      11.228ms      62.376us     316.542ms         4.22%     316.542ms       1.759ms           0 b           0 b      19.44 Gb      19.44 Gb           180  
                                    aten::empty_strided         0.06%      15.362ms         0.06%      15.362ms       6.348us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       6.96 Gb       6.96 Gb          2420  
                                              aten::mul         0.01%       2.910ms         0.01%       3.525ms      70.499us     534.137us         0.01%     534.137us      10.683us           0 b           0 b     160.01 Mb     160.01 Mb            50  
                                          aten::sigmoid         0.01%       1.486ms         0.01%       1.658ms     165.808us      92.479us         0.00%      92.479us       9.248us           0 b           0 b      80.00 Mb      80.00 Mb            10  
                                 aten::sigmoid_backward         0.00%     182.399us         0.00%     302.470us      30.247us     128.798us         0.00%     128.798us      12.880us           0 b           0 b      80.00 Mb      80.00 Mb            10  
                                              aten::any         0.34%      93.432ms         0.54%     148.609ms      31.352us     120.978ms         1.61%     121.174ms      25.564us           0 b           0 b       2.31 Mb       2.31 Mb          4740  
                                         cudaEventQuery         0.01%       1.378ms         0.01%       1.389ms      18.773us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       1.03 Mb       1.03 Mb            74  
                                              aten::sum         0.09%      23.476ms         0.13%      34.540ms      37.956us      75.255ms         1.00%      75.255ms      82.698us           0 b           0 b     855.00 Kb     855.00 Kb           910  
                                          aten::resize_         0.00%       1.355ms         0.00%       1.355ms       5.210us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     205.00 Kb     205.00 Kb           260  
                                              aten::div         0.01%       1.568ms         0.01%       1.976ms      49.394us     105.664us         0.00%     105.664us       2.642us           0 b           0 b      20.00 Kb      20.00 Kb            40  
                                            aten::fill_         0.01%       1.941ms         0.02%       4.733ms      26.295us       9.624ms         0.13%       9.624ms      53.465us           0 b           0 b    -767.99 Mb      11.00 Kb           180  
                                              aten::neg         0.00%     805.617us         0.00%       1.294ms      64.699us      47.680us         0.00%      47.680us       2.384us           0 b           0 b      10.00 Kb      10.00 Kb            20  
                                              aten::sub         0.00%     208.319us         0.00%     345.819us      34.582us      23.680us         0.00%      23.680us       2.368us           0 b           0 b       5.00 Kb       5.00 Kb            10  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 27.281s
Self CUDA time total: 7.498s
