-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: CheckpointFunct...         0.03%       7.087ms        18.76%        5.118s      18.955ms       0.000us         0.00%        5.838s      21.621ms           0 b           0 b     -17.33 Gb     -42.47 Gb           270  
                             CheckpointFunctionBackward         0.75%     203.939ms        18.50%        5.047s      18.694ms       0.000us         0.00%        5.798s      21.476ms           0 b     -16.88 Kb      20.16 Gb     -45.57 Gb           270  
                                         REMPE/backward         0.00%       0.000us         0.00%       0.000us       0.000us        5.190s        69.23%        5.190s     519.050ms           0 b           0 b           0 b           0 b            10  
autograd::engine::evaluate_function: ConvolutionBack...         0.14%      39.451ms        10.64%        2.901s       3.297ms       0.000us         0.00%        2.656s       3.018ms           0 b           0 b     -49.20 Gb    -168.43 Gb           880  
                                   ConvolutionBackward0         0.03%       8.375ms         0.47%     128.873ms     146.446us       0.000us         0.00%        2.473s       2.811ms           0 b           0 b      84.73 Gb           0 b           880  
                             aten::convolution_backward         0.20%      55.575ms         0.44%     120.498ms     136.929us        2.399s        31.99%        2.473s       2.811ms           0 b           0 b      84.73 Gb      67.91 Gb           880  
autograd::engine::evaluate_function: torch::autograd...         0.12%      31.464ms         0.38%     103.515ms      40.436us       0.000us         0.00%        2.046s     799.308us           0 b           0 b      -1.25 Gb    -256.00 Mb          2560  
                                       c10d::allreduce_         0.01%       3.318ms         0.02%       6.510ms     325.495us       0.000us         0.00%        2.040s     102.009ms           0 b           0 b           0 b           0 b            20  
                                     record_param_comms         0.01%       2.449ms         0.01%       3.192ms     159.599us        2.040s        27.21%        2.040s     102.009ms           0 b           0 b           0 b           0 b            20  
