epoch,train_loss,val_loss,dsc,iou
0,0.799044,0.400595,0.636206,0.671852
1,0.393111,0.337292,0.666960,0.684766
2,0.381459,0.297467,0.704751,0.759362
3,0.318360,0.308761,0.693055,0.701971
4,0.317724,0.286686,0.714775,0.709529
5,0.275328,0.294501,0.706723,0.660633
6,0.251626,0.261132,0.740294,0.749674
7,0.235258,0.276956,0.723919,0.723171
8,0.273439,0.269439,0.731649,0.733564
9,0.225332,0.268926,0.732170,0.716167
10,0.236501,0.268926,0.732170,0.716167
11,0.226924,0.269810,0.731251,0.712850
12,0.248555,0.261488,0.739637,0.738927
13,0.225600,0.258259,0.742773,0.737681
14,0.234693,0.259016,0.742200,0.721727
15,0.225478,0.272474,0.728781,0.684785
16,0.243277,0.304509,0.696190,0.630177
17,0.246948,0.267207,0.733665,0.749010
18,0.246329,0.295729,0.704938,0.648761
19,0.274465,0.277956,0.722593,0.700304
