epoch,phase,avg_ms,total_ms,peak_vram_mb,vram_delta_mb,loader_starvation_ms,nccl_ms,gpu_util_pct
0,data_to_gpu,1.22,29.21,138.9,16.0,48631.9,26.8,48.7
0,forward,368.27,8838.50,19576.8,49616.2,48631.9,26.8,48.7
0,backward,1826.71,43841.14,19941.7,-49587.8,48631.9,26.8,48.7
0,optimizer,9.58,230.03,152.1,42.4,48631.9,26.8,48.7
0,val_forward,84.64,507.85,3038.4,64.0,48631.9,26.8,48.7
0,val_metrics,34.80,208.81,204.0,0.0,48631.9,26.8,48.7
1,data_to_gpu,1.17,28.07,138.9,16.0,8090.6,8.1,81.6
1,forward,84.15,2019.49,3906.4,49617.0,8090.6,8.1,81.6
1,backward,2854.75,68514.10,6213.4,-49609.0,8090.6,8.1,81.6
1,optimizer,3.94,94.57,152.1,0.0,8090.6,8.1,81.6
1,val_forward,84.56,507.35,3038.4,64.0,8090.6,8.1,81.6
1,val_metrics,2.02,12.14,204.0,0.0,8090.6,8.1,81.6
2,data_to_gpu,1.19,28.65,138.9,16.0,34707.1,9.3,23.8
2,forward,84.68,2032.32,3906.4,49616.0,34707.1,9.3,23.8
2,backward,707.33,16975.83,6212.4,-49607.0,34707.1,9.3,23.8
2,optimizer,32.20,772.82,152.1,0.0,34707.1,9.3,23.8
2,val_forward,84.61,507.65,3039.4,64.0,34707.1,9.3,23.8
2,val_metrics,2.33,13.99,204.9,0.0,34707.1,9.3,23.8
3,data_to_gpu,1.16,27.82,138.9,16.0,40918.7,7.6,37.6
3,forward,84.20,2020.71,3906.4,49616.0,40918.7,7.6,37.6
3,backward,1108.95,26614.77,6212.4,-49609.0,40918.7,7.6,37.6
3,optimizer,4.55,109.14,152.1,0.0,40918.7,7.6,37.6
3,val_forward,84.58,507.47,3038.4,64.0,40918.7,7.6,37.6
3,val_metrics,2.28,13.69,204.9,0.0,40918.7,7.6,37.6
4,data_to_gpu,1.14,27.29,138.9,16.0,7774.4,7.5,80.5
4,forward,84.14,2019.28,3906.4,49617.0,7774.4,7.5,80.5
4,backward,2554.00,61296.07,6213.4,-49609.0,7774.4,7.5,80.5
4,optimizer,4.57,109.80,152.1,0.0,7774.4,7.5,80.5
4,val_forward,84.60,507.62,3038.4,64.0,7774.4,7.5,80.5
4,val_metrics,2.34,14.05,204.0,0.0,7774.4,7.5,80.5
5,data_to_gpu,1.15,27.51,138.9,16.0,1475.7,8.3,87.8
5,forward,84.19,2020.64,3906.4,49616.0,1475.7,8.3,87.8
5,backward,2720.74,65297.79,6212.4,-49608.0,1475.7,8.3,87.8
5,optimizer,4.76,114.35,152.1,0.0,1475.7,8.3,87.8
5,val_forward,84.56,507.37,3038.4,64.0,1475.7,8.3,87.8
5,val_metrics,2.27,13.64,204.0,0.0,1475.7,8.3,87.8
6,data_to_gpu,1.14,27.29,138.9,16.0,48199.6,7.9,31.2
6,forward,84.15,2019.55,3906.4,49616.0,48199.6,7.9,31.2
6,backward,947.20,22732.89,6212.4,-49608.0,48199.6,7.9,31.2
6,optimizer,4.31,103.37,152.1,0.0,48199.6,7.9,31.2
6,val_forward,84.58,507.48,3038.4,64.0,48199.6,7.9,31.2
6,val_metrics,2.32,13.93,204.0,0.0,48199.6,7.9,31.2
7,data_to_gpu,1.06,25.43,138.9,16.0,75794.3,7.0,8.7
7,forward,84.12,2018.93,3906.4,49616.0,75794.3,7.0,8.7
7,backward,219.50,5268.08,6212.4,-49608.0,75794.3,7.0,8.7
7,optimizer,4.14,99.33,152.1,0.0,75794.3,7.0,8.7
7,val_forward,84.60,507.63,3038.4,64.0,75794.3,7.0,8.7
7,val_metrics,2.30,13.79,204.0,0.0,75794.3,7.0,8.7
8,data_to_gpu,1.10,26.32,138.9,16.0,25017.8,7.9,58.3
8,forward,84.20,2020.78,3906.4,49616.0,25017.8,7.9,58.3
8,backward,1801.32,43231.78,6212.4,-49608.0,25017.8,7.9,58.3
8,optimizer,4.61,110.52,152.1,0.0,25017.8,7.9,58.3
8,val_forward,84.55,507.30,3038.4,64.0,25017.8,7.9,58.3
8,val_metrics,2.38,14.31,204.0,0.0,25017.8,7.9,58.3
9,data_to_gpu,1.05,25.16,138.9,16.0,27473.7,7.6,51.7
9,forward,84.13,2019.21,3906.4,49616.0,27473.7,7.6,51.7
9,backward,1458.27,34998.41,6212.4,-49608.0,27473.7,7.6,51.7
9,optimizer,4.53,108.67,152.1,0.0,27473.7,7.6,51.7
9,val_forward,84.57,507.45,3038.4,64.0,27473.7,7.6,51.7
9,val_metrics,2.31,13.87,204.0,0.0,27473.7,7.6,51.7
10,data_to_gpu,1.09,26.12,138.9,16.0,72506.2,6.3,9.0
10,forward,84.09,2018.15,3906.4,49616.0,72506.2,6.3,9.0
10,backward,220.77,5298.41,6212.4,-49608.0,72506.2,6.3,9.0
