-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         REMPE/backward         0.00%       0.000us         0.00%       0.000us       0.000us        2.186s        67.45%        2.186s     218.574ms           0 b           0 b           0 b           0 b            10  
autograd::engine::evaluate_function: CheckpointFunct...         0.07%       3.195ms        21.58%        1.001s       3.706ms       0.000us         0.00%        2.164s       8.013ms           0 b           0 b     -17.32 Gb     -37.48 Gb           270  
                             CheckpointFunctionBackward         2.90%     134.548ms        21.19%     982.253ms       3.638ms       0.000us         0.00%        2.156s       7.985ms           0 b     -16.88 Kb      20.16 Gb     -45.57 Gb           270  
                                          ProfilerStep*         0.46%      21.549ms        73.02%        3.385s     338.489ms       0.000us         0.00%        1.045s     104.509ms     134.16 Kb           0 b           0 b      -5.00 Kb            10  
                                      aten::convolution         0.24%      11.000ms         3.41%     158.269ms      90.440us       0.000us         0.00%        1.029s     587.884us           0 b           0 b     166.29 Gb           0 b          1750  
                                     aten::_convolution         0.38%      17.844ms         3.18%     147.270ms      84.154us       0.000us         0.00%        1.029s     587.884us           0 b           0 b     166.29 Gb           0 b          1750  
autograd::engine::evaluate_function: ConvolutionBack...         0.22%      10.366ms         7.87%     365.027ms     414.803us       0.000us         0.00%        1.001s       1.138ms           0 b           0 b     -49.19 Gb    -147.23 Gb           880  
                                   ConvolutionBackward0         0.12%       5.376ms         7.39%     342.501ms     389.206us       0.000us         0.00%     962.333ms       1.094ms           0 b           0 b      84.73 Gb           0 b           880  
                             aten::convolution_backward         0.99%      45.766ms         7.27%     337.125ms     383.096us     885.561ms        27.33%     962.333ms       1.094ms           0 b           0 b      84.73 Gb      67.90 Gb           880  
                        DistributedDataParallel.forward         0.00%       0.000us         0.00%       0.000us       0.000us     849.865ms        26.23%     849.865ms      84.986ms           0 b           0 b           0 b           0 b            10  
