-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                aten::cudnn_convolution         0.75%      34.972ms         1.22%      56.663ms      50.145us     250.883ms         7.74%     250.883ms     222.020us           0 b           0 b     119.42 Gb     119.42 Gb          1130  
                                            aten::empty         0.86%      40.023ms         0.86%      40.023ms       5.358us       0.000us         0.00%       0.000us       0.000us      16.91 Kb      16.91 Kb     117.96 Gb     117.96 Gb          7470  
                                             aten::gelu         0.15%       6.796ms         0.36%      16.775ms      32.260us     124.618ms         3.85%     124.618ms     239.650us           0 b           0 b      80.56 Gb      80.56 Gb           520  
                             aten::convolution_backward         0.99%      45.766ms         7.27%     337.125ms     383.096us     885.561ms        27.33%     962.333ms       1.094ms           0 b           0 b      84.73 Gb      67.90 Gb           880  
                                              aten::add         0.19%       8.995ms         0.65%      30.294ms      38.839us     119.432ms         3.69%     119.432ms     153.118us           0 b           0 b      51.60 Gb      51.60 Gb           780  
                                    aten::gelu_backward         0.07%       3.293ms         0.11%       5.298ms      20.375us      92.151ms         2.84%      92.151ms     354.426us           0 b           0 b      40.28 Gb      40.28 Gb           260  
                      aten::cudnn_convolution_transpose         0.13%       6.061ms         0.22%      10.035ms      55.747us     232.137ms         7.16%     232.137ms       1.290ms           0 b           0 b      19.44 Gb      19.44 Gb           180  
                                    aten::empty_strided         0.31%      14.341ms         0.31%      14.341ms       5.926us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       6.95 Gb       6.95 Gb          2420  
                                         cudaEventQuery         0.01%     686.762us         0.01%     690.771us      10.965us       0.000us         0.00%       0.000us       0.000us          16 b          16 b     313.31 Mb     313.31 Mb            63  
                                              aten::mul         0.02%     809.867us         0.03%       1.269ms      25.383us     523.773us         0.02%     523.773us      10.475us           0 b           0 b     160.01 Mb     160.01 Mb            50  
                                          aten::sigmoid         0.00%     231.269us         0.01%     338.490us      33.849us      90.238us         0.00%      90.238us       9.024us           0 b           0 b      80.00 Mb      80.00 Mb            10  
                                 aten::sigmoid_backward         0.00%     209.027us         0.01%     306.928us      30.693us     126.751us         0.00%     126.751us      12.675us           0 b           0 b      80.00 Mb      80.00 Mb            10  
                               cudaPointerGetAttributes         0.00%     185.138us         0.00%     185.138us      11.571us     189.887us         0.01%     189.887us      11.868us           0 b           0 b      64.00 Mb      64.00 Mb            16  
                                              aten::sum         0.42%      19.452ms         1.59%      73.870ms      81.176us      77.315ms         2.39%      77.315ms      84.961us           0 b           0 b     855.00 Kb     855.00 Kb           910  
                                          aten::resize_         0.02%       1.059ms         0.02%       1.059ms       4.074us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     205.00 Kb     205.00 Kb           260  
autograd::engine::evaluate_function: torch::autograd...         0.46%      21.435ms         3.26%     151.312ms      59.106us       0.000us         0.00%      37.651ms      14.707us           0 b           0 b     108.50 Kb     166.00 Kb          2560  
                                            aten::zero_         0.00%      92.349us         0.03%       1.468ms     146.846us       0.000us         0.00%      21.408us       2.141us           0 b           0 b     -57.50 Kb      97.50 Kb            10  
                                              aten::div         0.01%     527.478us         0.02%     832.749us      20.819us     105.726us         0.00%     105.726us       2.643us           0 b           0 b      20.00 Kb      20.00 Kb            40  
                                              aten::neg         0.01%     565.380us         0.02%     798.479us      39.924us      50.720us         0.00%      50.720us       2.536us           0 b           0 b      10.00 Kb      10.00 Kb            20  
                                               aten::ne         0.00%     201.688us         0.01%     340.579us      34.058us      25.600us         0.00%      25.600us       2.560us           0 b           0 b       5.00 Kb       5.00 Kb            10  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 4.635s
Self CUDA time total: 3.240s
