-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: CheckpointFunct...         0.03%       3.057ms         9.36%     999.767ms       3.703ms       0.000us         0.00%        8.364s      30.977ms           0 b           0 b     -17.32 Gb     -37.48 Gb           270  
                             CheckpointFunctionBackward         1.30%     139.144ms         9.17%     980.314ms       3.631ms       0.000us         0.00%        8.356s      30.948ms           0 b     -16.88 Kb      20.16 Gb     -45.57 Gb           270  
autograd::engine::evaluate_function: torch::autograd...         0.21%      22.337ms         1.18%     125.990ms      49.215us       0.000us         0.00%        6.336s       2.475ms           0 b           0 b    -255.74 Mb     -25.00 Kb          2560  
                                       c10d::allreduce_         0.10%      11.116ms         0.13%      13.372ms     668.624us       0.000us         0.00%        6.329s     316.450ms           0 b           0 b           0 b           0 b            20  
                                     record_param_comms         0.02%       1.740ms         0.02%       2.256ms     112.816us        6.329s        67.57%        6.329s     316.450ms           0 b           0 b           0 b           0 b            20  
ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevComm*...         0.00%       0.000us         0.00%       0.000us       0.000us        6.329s        67.57%        6.329s     316.450ms           0 b           0 b           0 b           0 b            20  
                                        nccl:all_reduce         0.00%       0.000us         0.00%       0.000us       0.000us        6.329s        67.57%        6.329s     316.450ms           0 b           0 b           0 b           0 b            20  
                                         REMPE/backward         0.00%       0.000us         0.00%       0.000us       0.000us        2.196s        23.45%        2.196s     219.600ms           0 b           0 b           0 b           0 b            10  
                                      aten::convolution         0.11%      11.400ms         1.88%     201.412ms     115.093us       0.000us         0.00%        1.028s     587.699us           0 b           0 b     166.30 Gb           0 b          1750  
                                     aten::_convolution         0.23%      24.469ms         1.78%     190.012ms     108.578us       0.000us         0.00%        1.028s     587.699us           0 b           0 b     166.30 Gb           0 b          1750  
