-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                aten::cudnn_convolution         0.74%      33.569ms         1.46%      66.076ms      61.466us     238.687ms         8.55%     238.687ms     222.035us           0 b           0 b     113.83 Gb     113.83 Gb          1075  
                                            aten::empty         0.95%      43.041ms         0.95%      43.041ms       5.163us       0.000us         0.00%       0.000us       0.000us      13.59 Kb      13.59 Kb     106.53 Gb     106.53 Gb          8337  
                                             aten::gelu         0.14%       6.512ms         0.45%      20.220ms      40.931us     118.344ms         4.24%     118.344ms     239.562us           0 b           0 b      76.54 Gb      76.54 Gb           494  
                             aten::convolution_backward         0.78%      35.467ms         4.02%     182.030ms     258.565us     700.278ms        25.09%     761.744ms       1.082ms           0 b           0 b      67.79 Gb      54.33 Gb           704  
                                              aten::add         0.19%       8.459ms         0.36%      16.292ms      22.166us     110.198ms         3.95%     110.198ms     149.929us           0 b           0 b      47.54 Gb      47.54 Gb           735  
                                    aten::gelu_backward         0.06%       2.574ms         0.22%       9.810ms      47.162us      73.721ms         2.64%      73.721ms     354.429us           0 b           0 b      32.23 Gb      32.23 Gb           208  
                      aten::cudnn_convolution_transpose         0.13%       6.067ms         0.22%       9.980ms      58.364us     220.553ms         7.90%     220.553ms       1.290ms           0 b           0 b      18.47 Gb      18.47 Gb           171  
                                    aten::empty_strided         0.29%      13.035ms         0.29%      13.035ms       6.498us       0.000us         0.00%       0.000us       0.000us          24 b          24 b       6.06 Gb       6.06 Gb          2006  
                                              aten::mul         0.03%       1.222ms         0.04%       1.853ms      26.473us     644.095us         0.02%     644.095us       9.201us           0 b           0 b     200.02 Mb     200.02 Mb            70  
                                          aten::sigmoid         0.01%     292.228us         0.01%     486.018us      34.716us     140.704us         0.01%     140.704us      10.050us           0 b           0 b     112.00 Mb     112.00 Mb            14  
                                 aten::sigmoid_backward         0.01%     273.300us         0.01%     349.040us      43.630us      99.008us         0.00%      99.008us      12.376us           0 b           0 b      64.00 Mb      64.00 Mb             8  
                                              aten::cat         0.00%     158.329us         0.01%     242.588us      26.954us     103.391us         0.00%     103.391us      11.488us           0 b           0 b      48.00 Mb      48.00 Mb             9  
                                               aten::eq         0.01%     229.428us         0.01%     334.249us      22.283us      77.856us         0.00%      77.856us       5.190us           0 b           0 b      18.00 Mb      18.00 Mb            15  
                                               aten::ge         0.00%     106.801us         0.00%     172.059us      28.676us      64.544us         0.00%      64.544us      10.757us           0 b           0 b      12.00 Mb      12.00 Mb             6  
                                               aten::ne         0.01%     240.845us         0.01%     397.497us      26.500us      50.144us         0.00%      50.144us       3.343us           0 b           0 b       6.01 Mb       6.01 Mb            15  
                                         cudaEventQuery         0.01%     408.595us         0.01%     408.595us       6.810us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       1.00 Mb       1.00 Mb            60  
                                          aten::resize_         0.02%     963.448us         0.02%     963.448us       4.379us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     170.00 Kb     170.00 Kb           220  
autograd::engine::evaluate_function: torch::autograd...         0.39%      17.457ms         4.43%     200.727ms      98.011us       0.000us         0.00%      16.972ms       8.287us           0 b           0 b     170.00 Kb     133.50 Kb          2048  
                                            aten::zero_         0.00%     111.989us         0.03%       1.222ms     111.082us       0.000us         0.00%      20.544us       1.868us           0 b           0 b      36.50 Kb      67.50 Kb            11  
                                            aten::fill_         0.03%       1.197ms         0.08%       3.430ms      19.053us       9.089ms         0.33%       9.089ms      50.493us           0 b           0 b     -31.00 Kb      65.00 Kb           180  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 4.528s
Self CUDA time total: 2.791s
