-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         REMPE/backward         0.00%       0.000us         0.00%       0.000us       0.000us        1.744s        62.49%        1.744s     218.032ms           0 b           0 b           0 b           0 b             8  
autograd::engine::evaluate_function: CheckpointFunct...         0.06%       2.707ms        17.55%     794.714ms       3.679ms       0.000us         0.00%        1.716s       7.945ms           0 b           0 b     -13.85 Gb     -29.98 Gb           216  
                             CheckpointFunctionBackward         2.44%     110.534ms        17.34%     785.395ms       3.636ms       0.000us         0.00%        1.710s       7.916ms           0 b     -13.50 Kb      16.13 Gb     -36.45 Gb           216  
                                          ProfilerStep*         4.13%     187.092ms        77.93%        3.529s     392.094ms       0.000us         0.00%        1.055s     117.231ms           0 b    -134.17 Kb     -24.00 Mb    -208.02 Mb             9  
                                      aten::convolution         0.24%      10.767ms         4.57%     206.860ms     124.315us       0.000us         0.00%     978.179ms     587.848us           0 b           0 b     158.35 Gb           0 b          1664  
                                     aten::_convolution         0.38%      16.991ms         4.33%     196.093ms     117.844us       0.000us         0.00%     978.179ms     587.848us           0 b           0 b     158.35 Gb           0 b          1664  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us     968.996ms        34.71%     968.996ms     107.666ms           0 b           0 b           0 b           0 b             9  
                        DistributedDataParallel.forward         0.00%       0.000us         0.00%       0.000us       0.000us     934.500ms        33.48%     934.500ms      84.955ms           0 b           0 b           0 b           0 b            11  
                        DistributedDataParallel.forward         0.34%      15.565ms         4.59%     207.793ms      18.890ms       0.000us         0.00%     926.645ms      84.240ms       1.05 Mb           0 b      16.05 Gb      -9.64 Gb            11  
                                     CheckpointFunction         1.58%      71.699ms         4.15%     187.694ms     631.966us       0.000us         0.00%     910.724ms       3.066ms       1.05 Mb       1.05 Mb      19.28 Gb    -163.77 Gb           297  
