-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                aten::cudnn_convolution         0.23%      36.513ms         0.58%      91.931ms      81.355us     250.981ms         2.68%     250.981ms     222.107us           0 b           0 b     119.42 Gb     119.42 Gb          1130  
                                            aten::empty         0.26%      40.511ms         0.26%      40.511ms       5.423us       0.000us         0.00%       0.000us       0.000us      16.91 Kb      16.91 Kb     117.97 Gb     117.97 Gb          7470  
                                             aten::gelu         0.05%       7.186ms         0.07%      10.733ms      20.641us     124.620ms         1.33%     124.620ms     239.654us           0 b           0 b      80.57 Gb      80.57 Gb           520  
                             aten::convolution_backward         0.29%      46.250ms         2.02%     319.934ms     363.562us     902.126ms         9.64%     978.921ms       1.112ms           0 b           0 b      84.74 Gb      67.91 Gb           880  
                                              aten::add         0.06%       9.340ms         0.21%      33.267ms      42.650us     119.436ms         1.28%     119.436ms     153.124us           0 b           0 b      51.60 Gb      51.60 Gb           780  
                                    aten::gelu_backward         0.02%       3.430ms         0.10%      16.039ms      61.688us      92.172ms         0.98%      92.172ms     354.506us           0 b           0 b      40.28 Gb      40.28 Gb           260  
                      aten::cudnn_convolution_transpose         0.04%       6.749ms         0.07%      10.934ms      60.746us     232.376ms         2.48%     232.376ms       1.291ms           0 b           0 b      19.44 Gb      19.42 Gb           180  
                                    aten::empty_strided         0.09%      14.901ms         0.09%      14.901ms       6.157us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       6.95 Gb       6.95 Gb          2420  
                                              aten::mul         0.01%       1.660ms         0.01%       2.150ms      43.002us     518.964us         0.01%     518.964us      10.379us           0 b           0 b     160.01 Mb     160.01 Mb            50  
                                          aten::sigmoid         0.00%     288.089us         0.00%     410.868us      41.087us      92.224us         0.00%      92.224us       9.222us           0 b           0 b      80.00 Mb      80.00 Mb            10  
                                 aten::sigmoid_backward         0.00%     179.678us         0.00%     280.998us      28.100us     127.646us         0.00%     127.646us      12.765us           0 b           0 b      80.00 Mb      80.00 Mb            10  
                                         cudaEventQuery         0.01%       1.344ms         0.01%       1.354ms       7.280us      33.023us         0.00%      33.023us       0.178us           0 b           0 b      18.71 Mb      18.71 Mb           186  
                                              aten::sum         0.12%      19.662ms         1.08%     171.078ms     187.998us      77.330ms         0.83%      77.330ms      84.978us           0 b           0 b     855.00 Kb     855.00 Kb           910  
                                          aten::resize_         0.01%       1.120ms         0.01%       1.120ms       4.306us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     205.00 Kb     205.00 Kb           260  
                                            aten::fill_         0.01%       1.258ms         0.02%       3.249ms      18.053us       9.566ms         0.10%       9.566ms      53.144us           0 b           0 b    -511.81 Mb     132.50 Kb           180  
autograd::engine::evaluate_function: torch::autograd...         0.15%      23.138ms         0.62%      99.008ms      38.675us       0.000us         0.00%        6.323s       2.470ms           0 b           0 b    -511.81 Mb      38.50 Kb          2560  
                                              aten::div         0.00%     537.527us         0.01%     830.355us      20.759us     103.358us         0.00%     103.358us       2.584us           0 b           0 b      20.00 Kb      20.00 Kb            40  
                                              aten::neg         0.00%     580.429us         0.01%     862.584us      43.129us      49.824us         0.00%      49.824us       2.491us           0 b           0 b      10.00 Kb      10.00 Kb            20  
                                               aten::ne         0.00%     266.380us         0.00%     416.170us      41.617us      26.592us         0.00%      26.592us       2.659us           0 b           0 b       5.00 Kb       5.00 Kb            10  
                                              aten::sub         0.00%     160.929us         0.00%     245.559us      24.556us      23.679us         0.00%      23.679us       2.368us           0 b           0 b       5.00 Kb       5.00 Kb            10  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 15.867s
Self CUDA time total: 9.362s
