epoch,phase,avg_ms,total_ms,peak_vram_mb,vram_delta_mb,loader_starvation_ms,nccl_ms,gpu_util_pct
0,data_to_gpu,8.68,208.27,138.9,16.0,6286.2,10.5,80.6
0,forward,383.36,9200.52,19576.8,49634.0,6286.2,10.5,80.6
0,backward,1515.17,36363.97,19941.7,-49605.6,6286.2,10.5,80.6
0,optimizer,8.53,204.65,152.1,42.4,6286.2,10.5,80.6
0,val_forward,88.94,533.64,3038.4,64.0,6286.2,10.5,80.6
0,val_metrics,36.41,218.46,204.9,0.0,6286.2,10.5,80.6
1,data_to_gpu,8.90,213.52,139.8,16.0,2032.4,7.6,81.0
1,forward,84.14,2019.24,3907.2,49638.4,2032.4,7.6,81.0
1,backward,986.99,23687.73,6214.0,-49630.4,2032.4,7.6,81.0
1,optimizer,4.01,96.34,153.0,0.0,2032.4,7.6,81.0
1,val_forward,88.95,533.70,3038.4,64.0,2032.4,7.6,81.0
1,val_metrics,2.16,12.95,204.0,0.0,2032.4,7.6,81.0
2,data_to_gpu,9.00,215.93,138.9,16.0,1446.5,10.7,44.9
2,forward,84.81,2035.39,3906.4,49628.9,1446.5,10.7,44.9
2,backward,791.44,18994.64,6213.4,-49620.9,1446.5,10.7,44.9
2,optimizer,31.00,743.98,152.1,0.0,1446.5,10.7,44.9
2,val_forward,88.91,533.44,3038.4,64.0,1446.5,10.7,44.9
2,val_metrics,2.36,14.18,204.9,0.0,1446.5,10.7,44.9
3,data_to_gpu,9.08,217.97,138.0,16.0,15005.8,8.2,41.3
3,forward,84.10,2018.36,3906.4,49634.8,15005.8,8.2,41.3
3,backward,450.31,10807.55,6213.4,-49626.8,15005.8,8.2,41.3
3,optimizer,4.25,101.98,152.1,0.0,15005.8,8.2,41.3
3,val_forward,89.06,534.36,3038.4,64.0,15005.8,8.2,41.3
3,val_metrics,2.70,16.19,204.9,0.0,15005.8,8.2,41.3
4,data_to_gpu,9.07,217.62,138.0,16.0,1355.8,7.0,83.1
4,forward,84.13,2019.05,3906.4,49639.8,1355.8,7.0,83.1
4,backward,1043.99,25055.81,6213.4,-49631.8,1355.8,7.0,83.1
4,optimizer,4.28,102.75,152.1,0.0,1355.8,7.0,83.1
4,val_forward,89.23,535.40,3038.4,64.0,1355.8,7.0,83.1
4,val_metrics,2.24,13.44,204.0,0.0,1355.8,7.0,83.1
5,data_to_gpu,8.32,199.66,138.9,16.0,1317.7,7.8,82.5
5,forward,84.09,2018.22,3906.4,49635.8,1317.7,7.8,82.5
5,backward,1058.90,25413.55,6213.4,-49627.8,1317.7,7.8,82.5
5,optimizer,4.52,108.49,152.1,0.0,1317.7,7.8,82.5
5,val_forward,88.75,532.52,3038.4,64.0,1317.7,7.8,82.5
5,val_metrics,2.24,13.45,204.0,0.0,1317.7,7.8,82.5
6,data_to_gpu,8.36,200.58,138.9,16.0,8847.5,8.6,53.3
6,forward,84.11,2018.66,3906.4,49636.8,8847.5,8.6,53.3
6,backward,504.10,12098.34,6213.4,-49628.8,8847.5,8.6,53.3
6,optimizer,4.30,103.25,152.1,0.0,8847.5,8.6,53.3
6,val_forward,89.11,534.64,3038.4,64.0,8847.5,8.6,53.3
6,val_metrics,2.23,13.40,204.9,0.0,8847.5,8.6,53.3
7,data_to_gpu,8.65,207.72,138.9,16.0,21904.3,8.5,23.7
7,forward,84.11,2018.75,3906.4,49632.8,21904.3,8.5,23.7
7,backward,218.30,5239.28,6213.4,-49624.8,21904.3,8.5,23.7
7,optimizer,4.25,101.97,152.1,0.0,21904.3,8.5,23.7
7,val_forward,89.90,539.43,3038.4,64.0,21904.3,8.5,23.7
7,val_metrics,2.62,15.70,204.9,0.0,21904.3,8.5,23.7
8,data_to_gpu,8.90,213.71,138.0,16.0,1445.4,7.4,81.8
8,forward,84.07,2017.69,3906.4,49633.8,1445.4,7.4,81.8
8,backward,1008.07,24193.78,6213.4,-49625.8,1445.4,7.4,81.8
8,optimizer,4.15,99.63,152.1,0.0,1445.4,7.4,81.8
8,val_forward,88.84,533.04,3038.4,64.0,1445.4,7.4,81.8
8,val_metrics,2.26,13.56,204.9,0.0,1445.4,7.4,81.8
9,data_to_gpu,8.31,199.52,138.0,16.0,2032.0,8.0,79.5
9,forward,84.08,2017.94,3906.4,49637.8,2032.0,8.0,79.5
9,backward,1019.74,24473.78,6213.4,-49629.8,2032.0,8.0,79.5
9,optimizer,4.33,103.96,152.1,0.0,2032.0,8.0,79.5
9,val_forward,88.78,532.71,3038.4,64.0,2032.0,8.0,79.5
9,val_metrics,2.23,13.39,204.9,0.0,2032.0,8.0,79.5
