epoch,phase,avg_ms,total_ms,peak_vram_mb,vram_delta_mb,loader_starvation_ms,nccl_ms,gpu_util_pct
0,data_to_gpu,3.86,92.75,138.9,16.0,5831.5,13.8,77.4
0,forward,350.59,8414.14,19576.8,49615.2,5831.5,13.8,77.4
0,backward,1134.07,27217.66,19941.7,-49586.8,5831.5,13.8,77.4
0,optimizer,8.40,201.65,152.1,42.4,5831.5,13.8,77.4
0,val_forward,87.43,524.59,3038.4,64.0,5831.5,13.8,77.4
0,val_metrics,26.38,158.26,204.0,0.0,5831.5,13.8,77.4
1,data_to_gpu,4.46,107.09,138.9,16.0,1307.1,9.1,83.2
1,forward,84.06,2017.41,3906.4,49616.0,1307.1,9.1,83.2
1,backward,1024.76,24594.21,6212.4,-49607.0,1307.1,9.1,83.2
1,optimizer,4.16,99.81,152.1,0.0,1307.1,9.1,83.2
1,val_forward,86.27,517.61,3039.4,64.0,1307.1,9.1,83.2
1,val_metrics,1.90,11.39,204.9,0.0,1307.1,9.1,83.2
2,data_to_gpu,4.15,99.55,138.9,16.0,1392.0,12.0,44.3
2,forward,84.74,2033.81,3906.4,49618.0,1392.0,12.0,44.3
2,backward,771.43,18514.35,6213.4,-49610.0,1392.0,12.0,44.3
2,optimizer,32.64,783.45,152.1,0.0,1392.0,12.0,44.3
2,val_forward,86.29,517.74,3039.4,64.0,1392.0,12.0,44.3
2,val_metrics,2.29,13.74,204.9,0.0,1392.0,12.0,44.3
3,data_to_gpu,4.27,102.39,138.9,16.0,15500.0,9.3,39.3
3,forward,84.07,2017.75,3906.4,49616.0,15500.0,9.3,39.3
3,backward,418.96,10055.04,6212.4,-49609.0,15500.0,9.3,39.3
3,optimizer,4.34,104.16,152.1,0.0,15500.0,9.3,39.3
3,val_forward,86.31,517.84,3038.4,64.0,15500.0,9.3,39.3
3,val_metrics,2.27,13.63,204.0,0.0,15500.0,9.3,39.3
4,data_to_gpu,4.17,99.97,138.9,16.0,1221.6,7.8,83.6
4,forward,83.99,2015.75,3906.4,49616.0,1221.6,7.8,83.6
4,backward,1045.84,25100.25,6212.4,-49608.0,1221.6,7.8,83.6
4,optimizer,4.36,104.68,152.1,0.0,1221.6,7.8,83.6
4,val_forward,86.44,518.63,3038.4,64.0,1221.6,7.8,83.6
4,val_metrics,2.45,14.72,204.0,0.0,1221.6,7.8,83.6
5,data_to_gpu,4.16,99.78,138.9,16.0,1321.4,9.0,83.6
5,forward,84.06,2017.33,3906.4,49616.0,1321.4,9.0,83.6
5,backward,1052.50,25260.04,6212.4,-49607.0,1321.4,9.0,83.6
5,optimizer,4.53,108.67,152.1,0.0,1321.4,9.0,83.6
5,val_forward,87.73,526.39,3039.4,64.0,1321.4,9.0,83.6
5,val_metrics,2.26,13.55,204.9,0.0,1321.4,9.0,83.6
6,data_to_gpu,4.05,97.27,138.9,16.0,8579.1,8.7,54.6
6,forward,84.09,2018.13,3906.4,49616.0,8579.1,8.7,54.6
6,backward,527.17,12652.06,6212.4,-49609.0,8579.1,8.7,54.6
6,optimizer,4.63,111.09,152.1,0.0,8579.1,8.7,54.6
6,val_forward,86.24,517.42,3038.4,64.0,8579.1,8.7,54.6
6,val_metrics,2.35,14.10,204.9,0.0,8579.1,8.7,54.6
7,data_to_gpu,3.87,92.80,138.9,16.0,21177.3,8.9,24.4
7,forward,84.05,2017.19,3906.4,49616.0,21177.3,8.9,24.4
7,backward,226.16,5427.73,6212.4,-49608.0,21177.3,8.9,24.4
7,optimizer,4.63,111.22,152.1,0.0,21177.3,8.9,24.4
7,val_forward,86.20,517.21,3038.4,64.0,21177.3,8.9,24.4
7,val_metrics,2.24,13.46,204.0,0.0,21177.3,8.9,24.4
8,data_to_gpu,4.09,98.16,138.9,16.0,1254.8,10.6,83.1
8,forward,84.03,2016.71,3906.4,49618.0,1254.8,10.6,83.1
8,backward,1009.71,24233.07,6213.4,-49610.0,1254.8,10.6,83.1
8,optimizer,4.74,113.83,152.1,0.0,1254.8,10.6,83.1
8,val_forward,88.06,528.35,3038.4,64.0,1254.8,10.6,83.1
8,val_metrics,2.51,15.04,204.0,0.0,1254.8,10.6,83.1
9,data_to_gpu,3.81,91.34,138.9,16.0,2969.0,10.7,78.6
9,forward,84.03,2016.65,3906.4,49616.0,2969.0,10.7,78.6
9,backward,964.86,23156.76,6212.4,-49608.0,2969.0,10.7,78.6
9,optimizer,4.62,110.82,152.1,0.0,2969.0,10.7,78.6
9,val_forward,86.22,517.34,3038.4,64.0,2969.0,10.7,78.6
9,val_metrics,2.22,13.34,204.9,0.0,2969.0,10.7,78.6
