-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: CheckpointFunct...         0.03%       3.328ms         9.67%        1.000s       3.705ms       0.000us         0.00%        8.018s      29.697ms           0 b           0 b     -17.32 Gb     -37.48 Gb           270  
                             CheckpointFunctionBackward         1.47%     152.481ms         9.49%     982.095ms       3.637ms       0.000us         0.00%        8.011s      29.669ms           0 b     -16.88 Kb      20.16 Gb     -45.57 Gb           270  
autograd::engine::evaluate_function: torch::autograd...         0.23%      24.073ms         1.50%     155.264ms      60.650us       0.000us         0.00%        5.976s       2.334ms           0 b           0 b    -512.20 Mb      69.50 Kb          2560  
                                       c10d::allreduce_         0.02%       2.037ms         0.04%       4.531ms     226.527us       0.000us         0.00%        5.970s     298.508ms           0 b           0 b           0 b           0 b            20  
                                     record_param_comms         0.02%       1.909ms         0.02%       2.494ms     124.700us        5.970s        66.10%        5.970s     298.508ms           0 b           0 b           0 b           0 b            20  
ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevComm*...         0.00%       0.000us         0.00%       0.000us       0.000us        5.970s        66.10%        5.970s     298.508ms           0 b           0 b           0 b           0 b            20  
                                        nccl:all_reduce         0.00%       0.000us         0.00%       0.000us       0.000us        5.970s        66.10%        5.970s     298.508ms           0 b           0 b           0 b           0 b            20  
                                         REMPE/backward         0.00%       0.000us         0.00%       0.000us       0.000us        2.198s        24.34%        2.198s     219.817ms           0 b           0 b           0 b           0 b            10  
                                      aten::convolution         0.11%      11.833ms         1.56%     161.477ms      92.273us       0.000us         0.00%        1.029s     588.242us           0 b           0 b     166.29 Gb           0 b          1750  
                                     aten::_convolution         0.18%      18.352ms         1.45%     149.645ms      85.511us       0.000us         0.00%        1.029s     588.242us           0 b           0 b     166.29 Gb           0 b          1750  
