epoch,train_loss,val_loss,dsc,iou
0,0.807323,0.466624,0.596210,0.562999
1,0.408461,0.340008,0.664540,0.690012
2,0.373763,0.349210,0.652855,0.610146
3,0.349501,0.308454,0.693622,0.772446
4,0.325550,0.318113,0.683302,0.792618
5,0.308561,0.297562,0.703554,0.728258
6,0.272487,0.285465,0.715658,0.726832
7,0.282116,0.274675,0.726531,0.742138
8,0.298465,0.280230,0.720973,0.711453
9,0.268190,0.277113,0.724166,0.713187
10,0.251731,0.277113,0.724166,0.713187
11,0.231226,0.275093,0.726249,0.709982
12,0.262610,0.269897,0.731486,0.738784
13,0.220954,0.271711,0.729418,0.733286
14,0.265786,0.269141,0.732250,0.721796
15,0.250137,0.286258,0.715412,0.642779
16,0.240058,0.276578,0.724251,0.697761
17,0.266421,0.279683,0.720938,0.747921
18,0.260188,0.292286,0.708262,0.709160
19,0.309191,0.252436,0.748505,0.773894
20,0.292406,0.288071,0.712678,0.688277
21,0.274786,0.255216,0.745399,0.778232
22,0.216599,0.249551,0.751396,0.758077
23,0.253725,0.253956,0.746930,0.763536
24,0.259957,0.247192,0.753797,0.755037
25,0.246886,0.244020,0.756471,0.730262
26,0.196756,0.238783,0.762000,0.792059
27,0.210183,0.233154,0.767612,0.789364
28,0.202466,0.235460,0.765181,0.767371
29,0.210827,0.234292,0.766394,0.774955
30,0.183628,0.234292,0.766394,0.774955
31,0.201168,0.232059,0.768630,0.783265
32,0.182563,0.237107,0.763498,0.763344
33,0.203122,0.227606,0.773059,0.802748
34,0.221605,0.227450,0.773254,0.791248
35,0.214331,0.255162,0.745425,0.766312
36,0.248898,0.230218,0.770299,0.816130
37,0.214244,0.233463,0.767037,0.804207
38,0.240034,0.240830,0.759598,0.769275
39,0.208023,0.260249,0.740054,0.731701
40,0.234709,0.274055,0.726312,0.722722
41,0.240976,0.233333,0.767090,0.763308
42,0.221244,0.228904,0.771599,0.820695
43,0.179690,0.236198,0.764256,0.776607
44,0.178850,0.248974,0.751378,0.771820
45,0.183723,0.244318,0.756090,0.741840
46,0.188113,0.223360,0.777121,0.816531
47,0.225509,0.232876,0.767509,0.797987
48,0.202009,0.232826,0.767518,0.781383
49,0.235240,0.234225,0.766198,0.775477
50,0.194309,0.234225,0.766198,0.775477
51,0.186732,0.232975,0.767441,0.779378
52,0.195766,0.228833,0.771623,0.798044
53,0.168218,0.242322,0.758157,0.765255
54,0.197559,0.230073,0.770395,0.786894
55,0.203603,0.232062,0.768389,0.761910
56,0.215683,0.230625,0.769816,0.793338
57,0.194721,0.233913,0.766489,0.859110
58,0.223328,0.239527,0.760982,0.772224
59,0.252294,0.247792,0.752622,0.748257
60,0.214098,0.246017,0.754285,0.760471
61,0.212225,0.254069,0.746209,0.737897
62,0.191294,0.224237,0.776156,0.842985
63,0.205811,0.237569,0.762612,0.792138
64,0.210800,0.230540,0.769778,0.809754
65,0.209670,0.240130,0.760151,0.768137
66,0.189065,0.232433,0.767918,0.773144
67,0.181157,0.232456,0.767790,0.794587
68,0.196773,0.232351,0.767954,0.793423
69,0.221447,0.231404,0.768923,0.794950
70,0.167569,0.231404,0.768923,0.794950
71,0.158820,0.232702,0.767631,0.790617
72,0.197146,0.239009,0.761262,0.761981
73,0.172671,0.226645,0.773731,0.801567
74,0.191448,0.233652,0.766742,0.776246
75,0.179854,0.228140,0.772097,0.789339
76,0.175356,0.224203,0.776182,0.824194
77,0.231945,0.250452,0.749747,0.743421
78,0.213288,0.235655,0.764612,0.795273
79,0.231652,0.234796,0.765383,0.777955
80,0.200120,0.254718,0.745550,0.708214
81,0.176730,0.236962,0.763284,0.764736
82,0.212258,0.235219,0.765002,0.775537
83,0.198546,0.234891,0.765360,0.790619
84,0.189882,0.243418,0.756834,0.761791
85,0.188297,0.227021,0.773222,0.790777
86,0.172483,0.227540,0.772756,0.803897
87,0.200897,0.238340,0.761853,0.769776
88,0.175155,0.227664,0.772566,0.797514
89,0.174344,0.228371,0.771801,0.794856
90,0.179091,0.228371,0.771801,0.794856
91,0.193624,0.229965,0.770212,0.792207
92,0.189374,0.230314,0.769846,0.784561
93,0.176040,0.235247,0.764998,0.775823
94,0.179020,0.237770,0.762505,0.772081
95,0.153150,0.229312,0.771018,0.805941
96,0.160943,0.249465,0.750791,0.725682
97,0.193839,0.229686,0.770478,0.792188
98,0.210008,0.238148,0.762051,0.787035
99,0.181116,0.231821,0.768351,0.793637
100,0.214174,0.241021,0.759212,0.797503
101,0.215064,0.231071,0.769128,0.809043
102,0.194136,0.243014,0.757104,0.743190
103,0.169627,0.241268,0.759043,0.759580
104,0.171779,0.236980,0.763263,0.762861
105,0.216879,0.229583,0.770632,0.804055
106,0.155390,0.234919,0.765257,0.775034
107,0.162995,0.229286,0.770865,0.812194
108,0.158690,0.232135,0.768062,0.796724
109,0.150832,0.231829,0.768348,0.795416
110,0.181224,0.231829,0.768348,0.795416
