epoch,phase,avg_ms,total_ms,peak_vram_mb,vram_delta_mb,loader_starvation_ms,nccl_ms,gpu_util_pct
0,data_to_gpu,1.25,60.20,138.9,16.0,27622.1,37.7,68.9
0,forward,313.77,15061.18,19576.8,99232.1,27622.1,37.7,68.9
0,backward,1269.23,60923.03,19941.7,-99203.8,27622.1,37.7,68.9
0,optimizer,6.86,329.46,152.1,42.4,27622.1,37.7,68.9
0,val_forward,113.47,1361.69,3039.4,112.0,27622.1,37.7,68.9
0,val_metrics,18.28,219.40,204.9,0.0,27622.1,37.7,68.9
1,data_to_gpu,0.99,47.69,138.9,16.0,30158.9,20.6,57.4
1,forward,113.31,5438.76,3906.4,99232.0,30158.9,20.6,57.4
1,backward,915.42,43940.29,6211.6,-99224.0,30158.9,20.6,57.4
1,optimizer,4.16,199.60,152.1,0.0,30158.9,20.6,57.4
1,val_forward,113.44,1361.23,3039.4,112.0,30158.9,20.6,57.4
1,val_metrics,2.12,25.46,204.9,0.0,30158.9,20.6,57.4
2,data_to_gpu,1.04,50.02,138.9,16.0,39428.4,26.4,35.0
2,forward,113.77,5461.04,3906.4,99234.9,39428.4,26.4,35.0
2,backward,737.65,35407.17,6211.6,-99226.9,39428.4,26.4,35.0
2,optimizer,5.86,281.12,152.1,0.0,39428.4,26.4,35.0
2,val_forward,113.39,1360.66,3039.4,115.0,39428.4,26.4,35.0
2,val_metrics,2.27,27.29,204.9,0.0,39428.4,26.4,35.0
3,data_to_gpu,1.02,49.09,138.9,16.0,44415.1,25.9,44.6
3,forward,113.61,5453.32,3906.4,99235.9,44415.1,25.9,44.6
3,backward,728.16,34951.47,6211.6,-99227.9,44415.1,25.9,44.6
3,optimizer,5.11,245.41,152.1,0.0,44415.1,25.9,44.6
3,val_forward,113.36,1360.36,3039.4,113.0,44415.1,25.9,44.6
3,val_metrics,2.33,27.99,204.9,0.0,44415.1,25.9,44.6
4,data_to_gpu,1.00,47.95,138.9,17.0,7784.6,23.2,84.0
4,forward,113.35,5440.82,3906.4,99233.9,7784.6,23.2,84.0
4,backward,1580.18,75848.76,6211.6,-99225.9,7784.6,23.2,84.0
4,optimizer,5.32,255.33,152.1,0.0,7784.6,23.2,84.0
4,val_forward,113.41,1360.86,3039.4,115.0,7784.6,23.2,84.0
4,val_metrics,2.46,29.52,204.9,0.0,7784.6,23.2,84.0
5,data_to_gpu,1.00,47.83,138.9,16.0,7340.9,23.4,84.4
5,forward,113.32,5439.48,3906.4,99237.9,7340.9,23.4,84.4
5,backward,1566.42,75188.19,6211.6,-99228.9,7340.9,23.4,84.4
5,optimizer,4.89,234.69,152.1,0.0,7340.9,23.4,84.4
5,val_forward,113.33,1359.99,3039.4,112.0,7340.9,23.4,84.4
5,val_metrics,2.33,27.93,204.9,0.0,7340.9,23.4,84.4
6,data_to_gpu,1.01,48.43,138.9,17.0,43398.4,20.7,49.0
6,forward,113.72,5458.39,3906.4,99231.0,43398.4,20.7,49.0
6,backward,874.78,41989.39,6211.6,-99224.0,43398.4,20.7,49.0
6,optimizer,4.85,232.61,152.1,0.0,43398.4,20.7,49.0
6,val_forward,113.35,1360.16,3039.4,115.0,43398.4,20.7,49.0
6,val_metrics,2.34,28.12,204.9,0.0,43398.4,20.7,49.0
7,data_to_gpu,1.20,57.72,138.9,16.0,55627.3,25.6,35.4
